,annotation
BSU06450,S_Nucleotides_and_nucleic_acids
BSU06470,S_Nucleotides_and_nucleic_acids
BSU06480,S_Nucleotides_and_nucleic_acids
BSU06490,S_Nucleotides_and_nucleic_acids
BSU06500,S_Nucleotides_and_nucleic_acids
BSU06510,S_Nucleotides_and_nucleic_acids
BSU06520,S_Nucleotides_and_nucleic_acids
BSU06530,S_Nucleotides_and_nucleic_acids
BSU06660,S_Transport
BSU06670,charging
BSU06680,charging
BSU06690,charging
BSU06730,formation
BSU06970,S_Transport
BSU06980,S_Transport
BSU06990,S_Transport
BSU07490,S_Transport
BSU07500,S_Transport
BSU07510,S_Transport
BSU07520,S_Transport
BSU07570,S_Transport
BSU07610,S_Transport
BSU07700,S_Transport
BSU07800,S_Transport
BSU07810,S_Carbohydrates_and_related_molecules
BSU07830,S_Membrane_bioenergetics
BSU07840,S_Nucleotides_and_nucleic_acids
BSU07920,S_Transport
BSU07990,S_Amino_acids_and_related_molecules
BSU08000,S_Transport
BSU08030,BSU08030-MONOMER
BSU08060,S_Carbohydrates_and_related_molecules
BSU08070,S_Carbohydrates_and_related_molecules
BSU08180,S_Carbohydrates_and_related_molecules
BSU08200,S_Transport
BSU08440,S_Transport
BSU08450,S_Transport
BSU08460,S_Transport
BSU08650,S_Lipids
BSU08710,S_Coenzymes_and_prosthetic_groups
BSU08790,S_Coenzymes_and_prosthetic_groups
BSU08820,S_Other_function
BSU08830,S_Transport
BSU08840,S_Transport
BSU08850,S_Transport
BSU08860,S_Phosphate_and_sulfur
BSU09130,S_Transport
BSU09240,S_Carbohydrates_and_related_molecules
BSU09280,S_Transport
BSU09290,S_Carbohydrates_and_related_molecules
BSU09300,S_Carbohydrates_and_related_molecules
BSU09310,S_Carbohydrates_and_related_molecules
BSU09410,S_Phosphate_and_sulfur
BSU09440,S_Carbohydrates_and_related_molecules
BSU09520,transcription
BSU09530,S_Carbohydrates_and_related_molecules
BSU09540,S_Lipids
BSU09680,S_Transport
BSU09840,S_Coenzymes_and_prosthetic_groups
BSU09850,S_Transport
BSU10010,S_Transport
BSU10020,S_Amino_acids_and_related_molecules
BSU10120,S_Coenzymes_and_prosthetic_groups
BSU10130,S_Coenzymes_and_prosthetic_groups
BSU10140,S_Coenzymes_and_prosthetic_groups
BSU10170,S_Lipids
BSU10220,S_Transport
BSU10270,S_Lipids
BSU10360,S_Lipids
BSU10520,S_Transport
BSU10790,S_Amino_acids_and_related_molecules
BSU10870,S_Transport
BSU11010,S_Coenzymes_and_prosthetic_groups
BSU11190,S_Amino_acids_and_related_molecules
BSU11200,S_Amino_acids_and_related_molecules
BSU11210,S_Amino_acids_and_related_molecules
BSU11220,S_Amino_acids_and_related_molecules
BSU11230,S_Amino_acids_and_related_molecules
BSU11240,S_Amino_acids_and_related_molecules
BSU11250,S_Amino_acids_and_related_molecules
BSU11330,S_Lipids
BSU11340,S_Lipids
BSU11420,charging
BSU11610,S_Nucleotides_and_nucleic_acids
BSU11640,S_Transport
BSU11650,S_Coenzymes_and_prosthetic_groups
BSU11670,S_Amino_acids_and_related_molecules
BSU11710,S_Coenzymes_and_prosthetic_groups
BSU11720,S_Lipids
BSU11870,S_Amino_acids_and_related_molecules
BSU11880,S_Amino_acids_and_related_molecules
BSU12010,S_Transport
BSU12020,S_Carbohydrates_and_related_molecules
BSU12080,S_Membrane_bioenergetics
BSU12160,S_Membrane_bioenergetics
BSU12290,S_Membrane_bioenergetics
BSU12300,S_Carbohydrates_and_related_molecules
BSU12330,S_Carbohydrates_and_related_molecules
BSU12340,S_Carbohydrates_and_related_molecules
BSU12360,S_Transport
BSU12380,S_Carbohydrates_and_related_molecules
BSU12390,S_Carbohydrates_and_related_molecules
BSU12840,S_Transport
BSU12910,S_Amino_acids_and_related_molecules
BSU12920,S_Amino_acids_and_related_molecules
BSU12930,S_Transport
BSU12940,S_Transport
BSU12950,S_Transport
BSU12960,S_Transport
BSU13010,PGL
BSU13110,S_Coenzymes_and_prosthetic_groups
BSU13120,S_Amino_acids_and_related_molecules
BSU13130,S_Amino_acids_and_related_molecules
BSU13170,S_Nucleotides_and_nucleic_acids
BSU13180,S_Amino_acids_and_related_molecules
BSU13300,S_Transport
BSU13450,transcription
BSU13550,S_Amino_acids_and_related_molecules
BSU13560,S_Amino_acids_and_related_molecules
BSU13580,S_Amino_acids_and_related_molecules
BSU13590,S_Amino_acids_and_related_molecules
BSU13600,S_Amino_acids_and_related_molecules
BSU13610,S_Amino_acids_and_related_molecules
BSU13620,S_Amino_acids_and_related_molecules
BSU13730,S_Coenzymes_and_prosthetic_groups
BSU13850,S_Transport
BSU13890,S_Transport
BSU13900,S_Transport
BSU13910,S_Transport
BSU13960,S_Carbohydrates_and_related_molecules
BSU14000,S_Amino_acids_and_related_molecules
BSU14180,S_Amino_acids_and_related_molecules
BSU14190,S_Amino_acids_and_related_molecules
BSU14390,S_Carbohydrates_and_related_molecules
BSU14400,S_Transport
BSU14520,S_Nucleotides_and_nucleic_acids
BSU14530,formation
BSU14540,transcription
BSU14580,S_Carbohydrates_and_related_molecules
BSU14590,S_Carbohydrates_and_related_molecules
BSU14600,S_Carbohydrates_and_related_molecules
BSU14610,S_Carbohydrates_and_related_molecules
BSU14630,S_Amino_acids_and_related_molecules
BSU14670,S_Carbohydrates_and_related_molecules
BSU14730,transcription
BSU14830,S_Amino_acids_and_related_molecules
BSU14860,S_Carbohydrates_and_related_molecules
BSU14870,S_Membrane_bioenergetics
BSU14880,S_Membrane_bioenergetics
BSU14890,S_Membrane_bioenergetics
BSU14900,S_Membrane_bioenergetics
BSU14910,S_Membrane_bioenergetics
BSU14920,S_Membrane_bioenergetics
BSU15020,S_Coenzymes_and_prosthetic_groups
BSU15080,formation
BSU15110,S_Coenzymes_and_prosthetic_groups
BSU15140,BSU15140-MONOMER
BSU15180,S_Cell_wall
BSU15190,S_Cell_wall
BSU15200,S_Cell_wall
BSU15220,S_Cell_wall
BSU15230,S_Cell_wall
BSU15320,transcription
BSU15350,S_Amino_acids_and_related_molecules
BSU15430,charging
BSU15480,S_Transport
BSU15490,S_Nucleotides_and_nucleic_acids
BSU15500,S_Nucleotides_and_nucleic_acids
BSU15510,S_Amino_acids_and_related_molecules
BSU15520,S_Amino_acids_and_related_molecules
BSU15530,S_Nucleotides_and_nucleic_acids
BSU15540,S_Nucleotides_and_nucleic_acids
BSU15550,S_Nucleotides_and_nucleic_acids
BSU15560,S_Nucleotides_and_nucleic_acids
BSU15570,S_Amino_acids_and_related_molecules
BSU15580,S_Transport
BSU15590,S_Phosphate_and_sulfur
BSU15600,S_Amino_acids_and_related_molecules
BSU15610,S_Coenzymes_and_prosthetic_groups
BSU15620,S_Coenzymes_and_prosthetic_groups
BSU15630,S_Coenzymes_and_prosthetic_groups
BSU15650,S_Transport
BSU15680,S_Nucleotides_and_nucleic_acids
BSU15690,transcription
BSU15700,S_Coenzymes_and_prosthetic_groups
BSU15720,S_Amino_acids_and_related_molecules
BSU15730,S_Other_function
BSU15750,formation
BSU15790,S_Carbohydrates_and_related_molecules
BSU15820,formation
BSU15850,S_Amino_acids_and_related_molecules
BSU15860,S_Amino_acids_and_related_molecules
BSU15900,S_Lipids
BSU15910,S_Lipids
BSU15920,ACPS1
BSU15930,formation
BSU15980,translocation
BSU15990,formation
BSU16020,formation
BSU16040,formation
BSU16090,S_Carbohydrates_and_related_molecules
BSU16100,S_Carbohydrates_and_related_molecules
BSU16470,transcription
BSU16490,formation
BSU16500,translation
BSU16510,S_Nucleotides_and_nucleic_acids
BSU16520,translation
BSU16530,S_Lipids
BSU16540,S_Lipids
BSU16550,S_Carbohydrates_and_related_molecules
BSU16570,charging
BSU16600,transcription
BSU16630,translation
BSU16650,formation
BSU16670,S_Coenzymes_and_prosthetic_groups
BSU16680,formation
BSU16690,formation
BSU16730,S_Other_function
BSU16740,S_Other_function
BSU16750,S_Amino_acids_and_related_molecules
BSU16760,S_Amino_acids_and_related_molecules
BSU16770,S_Amino_acids_and_related_molecules
BSU16780,formation
BSU16920,S_Lipids
BSU16960,formation
BSU16990,S_Amino_acids_and_related_molecules
BSU17000,S_Amino_acids_and_related_molecules
BSU17150,S_Carbohydrates_and_related_molecules
BSU17380,S_Nucleotides_and_nucleic_acids
BSU17390,S_Nucleotides_and_nucleic_acids
BSU17410,S_Cell_wall
BSU17460,S_Amino_acids_and_related_molecules
BSU17600,S_Carbohydrates_and_related_molecules
BSU17610,S_Carbohydrates_and_related_molecules
BSU17660,S_Nucleotides_and_nucleic_acids
BSU17680,S_Nucleotides_and_nucleic_acids
BSU17710,no_rxn
BSU17890,S_Carbohydrates_and_related_molecules
BSU18000,S_Carbohydrates_and_related_molecules
BSU18120,S_Transport
BSU18210,S_Carbohydrates_and_related_molecules
BSU18220,S_Lipids
BSU18230,S_Lipids
BSU18250,S_Lipids
BSU18260,S_Lipids
BSU18410,S_Amino_acids_and_related_molecules
BSU18440,S_Amino_acids_and_related_molecules
BSU18450,S_Amino_acids_and_related_molecules
BSU18470,S_Amino_acids_and_related_molecules
BSU18480,S_Amino_acids_and_related_molecules
BSU18540,S_Transport
BSU18570,S_Membrane_bioenergetics
BSU18670,S_Carbohydrates_and_related_molecules
BSU18800,S_Other_function
BSU18830,S_Carbohydrates_and_related_molecules
BSU19230,S_Lipids
BSU19310,S_Carbohydrates_and_related_molecules
BSU19350,S_Transport
BSU19360,S_Carbohydrates_and_related_molecules
BSU19370,S_Carbohydrates_and_related_molecules
BSU19520,S_Transport
BSU19580,S_Transport
BSU19630,S_Nucleotides_and_nucleic_acids
BSU19690,S_Amino_acids_and_related_molecules
BSU19710,S_Amino_acids_and_related_molecules
BSU19800,S_Carbohydrates_and_related_molecules
BSU20020,S_Nucleotides_and_nucleic_acids
BSU20250,S_Amino_acids_and_related_molecules
BSU21680,S_Amino_acids_and_related_molecules
BSU21690,S_Amino_acids_and_related_molecules
BSU21770,S_Amino_acids_and_related_molecules
BSU21810,S_Coenzymes_and_prosthetic_groups
BSU21820,S_Nucleotides_and_nucleic_acids
BSU21870,S_Amino_acids_and_related_molecules
BSU21900,S_Other_function
BSU21910,S_Amino_acids_and_related_molecules
BSU21920,S_Lipids
BSU22060,S_Transport
BSU22070,S_Nucleotides_and_nucleic_acids
BSU22090,S_Transport
BSU22100,S_Carbohydrates_and_related_molecules
BSU22110,S_Carbohydrates_and_related_molecules
BSU22130,S_Carbohydrates_and_related_molecules
BSU22140,S_Carbohydrates_and_related_molecules
BSU22360,charging
BSU22370,S_Amino_acids_and_related_molecules
BSU22410,S_Coenzymes_and_prosthetic_groups
BSU22420,S_Coenzymes_and_prosthetic_groups
BSU22430,S_Coenzymes_and_prosthetic_groups
BSU22440,S_Lipids
BSU22480,S_Carbohydrates_and_related_molecules
BSU22490,S_Amino_acids_and_related_molecules
BSU22540,S_Membrane_bioenergetics
BSU22550,S_Membrane_bioenergetics
BSU22560,S_Membrane_bioenergetics
BSU22600,S_Amino_acids_and_related_molecules
BSU22610,S_Amino_acids_and_related_molecules
BSU22620,S_Amino_acids_and_related_molecules
BSU22630,S_Amino_acids_and_related_molecules
BSU22640,S_Amino_acids_and_related_molecules
BSU22650,S_Amino_acids_and_related_molecules
BSU22660,S_Amino_acids_and_related_molecules
BSU22670,S_Amino_acids_and_related_molecules
BSU22680,S_Amino_acids_and_related_molecules
BSU22690,S_Amino_acids_and_related_molecules
BSU22700,S_Amino_acids_and_related_molecules
BSU22710,S_Amino_acids_and_related_molecules
BSU22730,S_Nucleotides_and_nucleic_acids
BSU22740,S_Coenzymes_and_prosthetic_groups
BSU22750,S_Coenzymes_and_prosthetic_groups
BSU22760,S_Coenzymes_and_prosthetic_groups
BSU22780,S_Coenzymes_and_prosthetic_groups
BSU22830,S_Carbohydrates_and_related_molecules
BSU22870,S_Lipids
BSU22880,formation
BSU22890,S_Nucleotides_and_nucleic_acids
BSU22960,S_Amino_acids_and_related_molecules
BSU23070,S_Amino_acids_and_related_molecules
BSU23080,S_Amino_acids_and_related_molecules
BSU23100,transcription
BSU23250,S_Coenzymes_and_prosthetic_groups
BSU23260,S_Coenzymes_and_prosthetic_groups
BSU23270,S_Coenzymes_and_prosthetic_groups
BSU23280,S_Coenzymes_and_prosthetic_groups
BSU23380,S_Amino_acids_and_related_molecules
BSU23450,transcription
BSU23490,S_Nucleotides_and_nucleic_acids
BSU23500,S_Nucleotides_and_nucleic_acids
BSU23560,S_Transport
BSU23570,S_Amino_acids_and_related_molecules
BSU23580,S_Amino_acids_and_related_molecules
BSU23610,S_Carbohydrates_and_related_molecules
BSU23760,S_Coenzymes_and_prosthetic_groups
BSU23770,S_Amino_acids_and_related_molecules
BSU23800,S_Amino_acids_and_related_molecules
BSU23840,formation
BSU23850,S_Carbohydrates_and_related_molecules
BSU23860,S_Carbohydrates_and_related_molecules
BSU23920,S_Carbohydrates_and_related_molecules
BSU23960,S_Transport
BSU23970,S_Transport
BSU23980,S_Transport
BSU24030,S_Lipids
BSU24040,S_Lipids
BSU24050,S_Lipids
BSU24060,S_Lipids
BSU24070,S_Carbohydrates_and_related_molecules
BSU24080,S_Amino_acids_and_related_molecules
BSU24090,S_Carbohydrates_and_related_molecules
BSU24120,S_Carbohydrates_and_related_molecules
BSU24130,S_Carbohydrates_and_related_molecules
BSU24140,S_Carbohydrates_and_related_molecules
BSU24150,S_Lipids
BSU24160,S_Lipids
BSU24170,S_Lipids
BSU24270,S_Carbohydrates_and_related_molecules
BSU24280,S_Lipids
BSU24310,S_Coenzymes_and_prosthetic_groups
BSU24340,S_Lipids
BSU24350,S_Lipids
BSU24740,S_Transport
BSU24850,S_Carbohydrates_and_related_molecules
BSU24900,formation
BSU24950,S_Transport
BSU24960,S_Transport
BSU24970,S_Transport
BSU24980,S_Transport
BSU24990,S_Transport
BSU25020,S_Other_function
BSU25070,S_Lipids
BSU25160,S_Lipids
BSU25200,transcription
BSU25260,charging
BSU25270,charging
BSU25290,formation
BSU25300,S_Nucleotides_and_nucleic_acids
BSU25310,S_Lipids
BSU25410,formation
BSU25420,S_Transport
BSU25500,S_Coenzymes_and_prosthetic_groups
BSU25550,formation
BSU25580,S_Nucleotides_and_nucleic_acids
BSU25640,S_Coenzymes_and_prosthetic_groups
BSU25660,S_Amino_acids_and_related_molecules
BSU25710,S_Cell_wall
BSU25760,transcription
BSU25790,S_Transport
BSU25900,S_Cell_wall
BSU26390,transcription
BSU26590,S_Transport
BSU26600,S_Amino_acids_and_related_molecules
BSU26640,S_Transport
BSU26650,S_Transport
BSU26690,S_Transport
BSU26810,S_Amino_acids_and_related_molecules
BSU26860,S_Transport
BSU26970,S_Carbohydrates_and_related_molecules
BSU27010,S_Carbohydrates_and_related_molecules
BSU27040,S_Transport
BSU27050,S_Transport
BSU27060,S_Transport
BSU27070,S_Transport
BSU27120,transcription
BSU27200,S_Transport
BSU27220,S_Membrane_bioenergetics
BSU27250,S_Amino_acids_and_related_molecules
BSU27260,S_Amino_acids_and_related_molecules
BSU27270,S_Amino_acids_and_related_molecules
BSU27320,transcription
BSU27330,S_Nucleotides_and_nucleic_acids
BSU27410,charging
BSU27430,S_Transport
BSU27440,S_Transport
BSU27450,S_Transport
BSU27460,S_Transport
BSU27550,charging
BSU27560,charging
BSU27600,S_Nucleotides_and_nucleic_acids
BSU27610,S_Nucleotides_and_nucleic_acids
BSU27650,translocation
BSU27810,S_Transport
BSU27850,S_Coenzymes_and_prosthetic_groups
BSU27860,S_Coenzymes_and_prosthetic_groups
BSU27870,S_Coenzymes_and_prosthetic_groups
BSU27900,S_Amino_acids_and_related_molecules
BSU27910,S_Amino_acids_and_related_molecules
BSU27940,formation
BSU27960,formation
BSU28080,S_Coenzymes_and_prosthetic_groups
BSU28090,charging
BSU28120,S_Coenzymes_and_prosthetic_groups
BSU28130,S_Coenzymes_and_prosthetic_groups
BSU28140,S_Coenzymes_and_prosthetic_groups
BSU28150,S_Coenzymes_and_prosthetic_groups
BSU28230,formation
BSU28250,S_Amino_acids_and_related_molecules
BSU28260,S_Amino_acids_and_related_molecules
BSU28270,S_Amino_acids_and_related_molecules
BSU28280,S_Amino_acids_and_related_molecules
BSU28290,S_Amino_acids_and_related_molecules
BSU28300,S_Amino_acids_and_related_molecules
BSU28310,S_Amino_acids_and_related_molecules
BSU28370,BSU28370-MONOMER
BSU28390,S_Amino_acids_and_related_molecules
BSU28430,S_Carbohydrates_and_related_molecules
BSU28440,S_Carbohydrates_and_related_molecules
BSU28450,S_Carbohydrates_and_related_molecules
BSU28470,S_Amino_acids_and_related_molecules
BSU28500,APSR
BSU28510,S_Carbohydrates_and_related_molecules
BSU28540,S_Lipids
BSU28560,S_Lipids
BSU28630,charging
BSU28640,charging
BSU28680,S_Carbohydrates_and_related_molecules
BSU28720,S_Carbohydrates_and_related_molecules
BSU28730,S_Transport
BSU28740,S_Transport
BSU28750,S_Transport
BSU28780,S_Carbohydrates_and_related_molecules
BSU28790,S_Carbohydrates_and_related_molecules
BSU28800,S_Carbohydrates_and_related_molecules
BSU28850,formation
BSU28860,formation
BSU28870,translation
BSU28900,PYRt2
BSU28910,PYRt2
BSU28950,charging
BSU29010,S_Amino_acids_and_related_molecules
BSU29020,S_Carbohydrates_and_related_molecules
BSU29050,S_Carbohydrates_and_related_molecules
BSU29060,S_Coenzymes_and_prosthetic_groups
BSU29120,S_Carbohydrates_and_related_molecules
BSU29130,S_Carbohydrates_and_related_molecules
BSU29140,S_Carbohydrates_and_related_molecules
BSU29180,S_Carbohydrates_and_related_molecules
BSU29190,S_Carbohydrates_and_related_molecules
BSU29200,S_Lipids
BSU29210,S_Lipids
BSU29220,S_Carbohydrates_and_related_molecules
BSU29300,S_Coenzymes_and_prosthetic_groups
BSU29340,S_Transport
BSU29350,S_Transport
BSU29360,S_Transport
BSU29370,S_Transport
BSU29380,S_Transport
BSU29440,S_Amino_acids_and_related_molecules
BSU29450,S_Amino_acids_and_related_molecules
BSU29470,S_Carbohydrates_and_related_molecules
BSU29600,S_Transport
BSU29620,S_Amino_acids_and_related_molecules
BSU29660,formation
BSU29670,charging
BSU29680,S_Carbohydrates_and_related_molecules
BSU29750,S_Amino_acids_and_related_molecules
BSU29790,S_Cell_wall
BSU29990,S_Transport
BSU30070,S_Transport
BSU30200,S_Coenzymes_and_prosthetic_groups
BSU30210,S_Coenzymes_and_prosthetic_groups
BSU30220,S_Coenzymes_and_prosthetic_groups
BSU30230,S_Coenzymes_and_prosthetic_groups
BSU30240,S_Coenzymes_and_prosthetic_groups
BSU30300,S_Carbohydrates_and_related_molecules
BSU30320,charging
BSU30410,S_Transport
BSU30420,S_Transport
BSU30430,S_Transport
BSU30440,S_Transport
BSU30450,S_Transport
BSU30530,S_Transport
BSU30540,S_Amino_acids_and_related_molecules
BSU30550,S_Amino_acids_and_related_molecules
BSU30560,S_Carbohydrates_and_related_molecules
BSU30690,HCO3E
BSU30740,S_Transport
BSU30750,S_Transport
BSU30760,S_Transport
BSU30770,S_Transport
BSU30780,S_Coenzymes_and_prosthetic_groups
BSU30790,S_Coenzymes_and_prosthetic_groups
BSU30800,S_Coenzymes_and_prosthetic_groups
BSU30820,S_Coenzymes_and_prosthetic_groups
BSU30830,S_Coenzymes_and_prosthetic_groups
BSU30870,S_Carbohydrates_and_related_molecules
BSU30940,S_Carbohydrates_and_related_molecules
BSU30950,S_Carbohydrates_and_related_molecules
BSU30960,S_Carbohydrates_and_related_molecules
BSU30970,S_Carbohydrates_and_related_molecules
BSU30980,S_Carbohydrates_and_related_molecules
BSU31050,S_Other_function
BSU31060,S_Other_function
BSU31090,S_Transport
BSU31100,S_Transport
BSU31150,S_Cell_wall
BSU31180,S_Carbohydrates_and_related_molecules
BSU31200,S_Carbohydrates_and_related_molecules
BSU31322,S_Transport
BSU31350,S_Carbohydrates_and_related_molecules
BSU31400,S_Amino_acids_and_related_molecules
BSU31580,S_Transport
BSU31600,S_Transport
BSU31610,S_Transport
BSU31620,S_Transport
BSU31630,S_Transport
BSU31640,S_Transport
BSU31650,S_Transport
BSU31660,S_Transport
BSU31750,S_Coenzymes_and_prosthetic_groups
BSU31760,S_Coenzymes_and_prosthetic_groups
BSU31930,S_Amino_acids_and_related_molecules
BSU31970,S_Coenzymes_and_prosthetic_groups
BSU31980,S_Coenzymes_and_prosthetic_groups
BSU31990,S_Coenzymes_and_prosthetic_groups
BSU32000,S_Coenzymes_and_prosthetic_groups
BSU32100,S_Membrane_bioenergetics
BSU32110,S_Membrane_bioenergetics
BSU32130,S_Nucleotides_and_nucleic_acids
BSU32170,S_Amino_acids_and_related_molecules
BSU32180,S_Transport
BSU32200,S_Membrane_bioenergetics
BSU32240,S_Amino_acids_and_related_molecules
BSU32250,S_Amino_acids_and_related_molecules
BSU32260,S_Amino_acids_and_related_molecules
BSU32410,S_Nucleotides_and_nucleic_acids
BSU32430,S_Transport
BSU32440,S_Transport
BSU32450,S_Nucleotides_and_nucleic_acids
BSU32460,S_Nucleotides_and_nucleic_acids
BSU32470,S_Nucleotides_and_nucleic_acids
BSU32480,S_Nucleotides_and_nucleic_acids
BSU32490,S_Nucleotides_and_nucleic_acids
BSU32500,S_Nucleotides_and_nucleic_acids
BSU32510,S_Nucleotides_and_nucleic_acids
BSU32680,formation
BSU32820,S_Lipids
BSU32830,S_Lipids
BSU32840,S_Lipids
BSU33040,S_Carbohydrates_and_related_molecules
BSU33160,S_Transport
BSU33170,S_Transport
BSU33180,S_Transport
BSU33240,S_Carbohydrates_and_related_molecules
BSU33290,S_Transport
BSU33300,S_Transport
BSU33310,S_Transport
BSU33330,S_Transport
BSU33370,S_Transport
BSU33380,S_Transport
BSU33390,S_Transport
BSU33400,S_Carbohydrates_and_related_molecules
BSU33420,S_Transport
BSU33430,S_Phosphate_and_sulfur
BSU33440,S_Phosphate_and_sulfur
BSU33490,S_Transport
BSU33500,S_Transport
BSU33510,S_Transport
BSU33630,translocation
BSU33700,S_Transport
BSU33710,S_Transport
BSU33720,S_Transport
BSU33730,S_Transport
BSU33800,S_Transport
BSU33810,S_Transport
BSU33820,S_Transport
BSU33830,S_Transport
BSU33900,S_Carbohydrates_and_related_molecules
BSU33910,S_Carbohydrates_and_related_molecules
BSU33920,S_Carbohydrates_and_related_molecules
BSU33930,S_Carbohydrates_and_related_molecules
BSU33940,S_Carbohydrates_and_related_molecules
BSU33960,S_Transport
BSU34130,S_Carbohydrates_and_related_molecules
BSU34190,S_Transport
BSU34200,transcription
