Locus_tag,SMM_1_hyb25347102,SMM_2_hyb25346902,SMM_3_hyb25346702,Salt_1_hyb25345102,Salt_2_hyb25344802,Salt_3_hyb25347202
new_118452_118590,16.4702,16.4821,16.4858,16.4701,16.4261,16.4733
BSU01020,16.4696,16.4855,16.4903,16.4786,16.4402,16.4797
new_119017_119110,16.1742,16.359,16.3617,15.685,15.6657,16.0509
BSU01030,16.4099,16.3431,16.3404,16.07,15.9422,16.0458
BSU_misc_RNA_3,16.4768,16.4886,16.4938,16.4289,16.4282,16.4661
BSU01040,16.4661,16.4822,16.4902,15.8216,15.9555,15.7401
BSU01050,16.4604,16.4772,16.4291,15.5586,15.4408,15.6387
BSU01060,13.0881,13.1248,12.946,11.7447,11.6765,11.7817
new_121686_121918,15.9173,16.101,16.1242,16.2378,15.7997,16.3097
BSU01070,14.9198,14.8985,14.9927,14.8827,14.7439,15.0271
BSU01080,15.1829,15.2449,15.1453,15.1071,15.0118,15.2345
new_129162_129283,16.0294,16.1436,16.1156,15.7219,15.7691,15.808
BSU01090,16.3841,16.4703,16.4617,16.4475,16.419,16.4453
new_129589_129701,16.335,16.4477,16.3238,16.4328,16.248,16.4063
BSU01100,16.2545,16.4223,16.3561,16.4035,15.9298,16.1811
BSU01110,16.4746,16.4872,16.4918,16.4834,16.48,16.4901
BSU01120,16.3998,16.4566,16.4705,16.4556,16.4382,16.4456
new_132763_132881,16.4554,16.4735,16.4887,16.4045,16.3192,16.4224
BSU01130,16.2552,16.3823,16.3443,16.2371,15.8698,15.9458
BSU01140,10.2398,9.995,10.0396,10.7491,10.7431,10.8604
new_135170_135363,16.428,16.4513,16.4703,16.4318,16.2028,16.3115
BSU01150,16.4486,16.4734,16.4634,16.078,16.083,16.2674
BSU01160,15.9926,16.1707,16.0247,15.5002,15.5098,15.5777
BSU01170,16.4581,16.4197,16.4638,16.3045,16.2138,16.4327
BSU01180,16.2439,16.4358,16.4663,16.2769,15.6869,16.3986
BSU01190,16.4179,16.480999999999998,16.4849,16.3417,16.2101,16.4468
BSU01200,16.3111,16.4354,16.4519,16.3806,16.0221,16.0613
BSU01210,16.0975,16.3934,16.3652,15.645,15.359000000000002,15.642999999999999
BSU01220,16.1334,16.3201,16.3327,15.5031,15.2489,15.5495
BSU01230,16.0394,16.2339,16.2494,15.4743,15.3647,15.4893
BSU01240,16.2296,16.09,16.3588,15.5002,15.3922,15.5512
BSU01250,16.1202,16.1965,16.4176,15.7497,15.6237,15.8286
BSU01260,16.1103,16.2777,16.3584,15.5204,15.5917,15.6531
BSU01270,16.0915,16.2482,16.3589,15.5758,15.5662,15.6126
BSU01280,15.9252,16.1475,16.1368,15.3185,15.1101,15.3601
BSU01290,16.257,16.3325,16.2207,15.3409,15.4383,15.4227
BSU01300,16.1612,16.4338,16.4161,15.7011,15.5816,15.6616
BSU01310,15.9957,16.2499,15.9952,15.3978,15.0935,15.3926
BSU01320,15.998,16.0599,15.9836,15.5196,15.1731,15.6229
BSU01330,16.2217,16.4141,16.3411,15.487,15.3933,15.5684
BSU01340,16.3721,16.4613,16.3202,15.759,15.658,15.7605
BSU01350,16.2342,15.8107,16.2323,15.2959,15.285,15.4922
BSU01360,15.9467,15.8175,15.8593,15.3624,15.1105,15.4291
BSU01370,16.2069,16.0978,15.9527,15.5325,15.469000000000001,15.5916
BSU01380,15.8599,15.6234,15.6817,15.2584,14.9612,15.3472
BSU01389,16.4261,16.3444,16.42,16.0847,15.909,16.1579
BSU01390,16.3842,15.874,16.1758,15.7246,15.7455,15.8061
BSU01400,16.3154,16.0623,16.2985,15.8014,15.5924,15.8399
BSU01410,16.3064,16.1304,16.449,16.0788,16.1249,15.9393
BSU01420,16.1727,16.352,16.0937,15.7853,15.4695,15.7717
new_148755_148930,16.2957,15.9621,16.0915,15.6233,15.5391,15.8721
BSU01430,16.2963,16.3191,16.2259,15.7249,15.6652,15.7427
BSU01440,16.3636,16.3197,16.415,16.0164,15.7286,15.8343
new_150362_150442,13.4052,13.1302,13.0158,12.9648,13.1379,13.405999999999999
BSU01450,12.1633,12.1705,12.2502,12.0697,11.9358,12.1754
BSU01460,12.1486,12.0213,12.1063,11.9957,12.0408,12.0956
BSU01470,12.068,12.0386,12.1484,11.9256,11.7382,12.0742
BSU01480,13.1032,13.0622,13.1513,12.9734,12.9351,12.8644
new_153039_153507_c,7.0711,7.0062,6.7894,7.3012,7.0753,7.0378
BSU01490,16.3731,16.295,16.0931,15.8443,15.6729,15.7013
BSU01500,15.7812,15.2597,15.0687,14.6065,14.6461,14.4981
new_154838_155119,8.7942,8.7207,9.273,9.6287,9.6275,9.6277
BSU01510,12.6287,12.6362,12.6333,11.1831,11.1449,11.1777
BSU01520,7.7533,7.6473,7.8059,7.5024,7.4523,7.3951
BSU01530,7.7539,7.8455,7.8928,7.7437,7.7962,7.5274
BSU01540,13.64,13.3862,13.3193,13.7396,13.5926,13.7248
new_158050_158514_c,7.5073,7.6083,7.3151,7.818,7.7698,7.346
new_158510_159181,11.841,11.9263,12.01,11.7612,11.6639,11.7529
BSU01550,7.5072,7.4008,7.3877,7.4963,7.5465,7.2403
new_159149_159778_c,7.1614,7.2191,7.0914,7.4147,7.206,7.0148
BSU01560,11.4929,11.3172,11.4242,11.2428,11.2169,11.3947
BSU01570,7.3389999999999995,7.5968,7.605,7.5879,7.6716,7.1874
new_159779_160673,10.8609,10.8914,10.9894,10.8852,10.7073,11.0716
new_160675_160892,15.8662,15.8941,15.8537,15.0845,14.8617,14.978
BSU_tRNA_24,12.7724,12.9477,13.3438,12.5033,12.4163,12.6405
new_176316_176924,8.1262,8.1103,8.3592,8.3711,8.5399,8.229
new_176926_177082,12.0452,12.1274,12.3032,10.6683,10.6394,11.0272
BSU01580,10.7582,10.7031,10.9513,9.5198,9.4483,9.7348
BSU01590,10.2317,10.087,10.277000000000001,9.6676,9.5714,9.7129
BSU01600,9.2272,9.3286,9.4174,9.3085,9.2385,9.3914
BSU01610,9.5057,9.4423,9.5175,9.474,9.441,9.5889
BSU01620,9.7659,9.7279,9.927999999999999,9.8671,9.8755,10.0455
BSU01630,11.1164,11.208,11.3571,11.2315,11.1844,11.2908
BSU01640,10.2815,10.1612,10.2714,10.6273,10.3467,10.5636
BSU01650,8.755,8.6369,8.7312,7.9584,7.8802,7.9244
BSU01660,8.7078,8.6893,8.6637,7.8268,7.7258,7.7871
BSU01670,8.9793,8.8804,8.9063,7.7278,7.6023,7.6661
BSU01680,9.2467,9.2302,9.2783,7.7034,7.5511,7.5449
BSU01690,10.0475,10.0855,10.1334,7.7733,7.6739,7.6445
BSU01700,10.5588,10.4124,10.5939,8.0263,7.6967,7.9229
BSU01710,9.5851,9.5754,9.7856,7.8703,7.7178,7.7383
BSU01720,10.0414,10.0525,10.0531,8.2924,8.1144,8.1055
new_194669_194786,9.4149,9.5538,10.4019,9.6726,9.6873,9.5255
BSU01730,14.5791,14.529000000000002,14.5147,15.9093,15.7803,15.9365
BSU01740,14.4138,14.4841,14.4741,15.8795,15.8269,15.9752
new_196132_196212,12.8312,12.5212,12.6196,12.8305,12.696,13.0179
BSU01750,12.6506,12.6414,12.7286,12.6161,12.5006,12.7357
BSU01760,12.8211,12.7861,12.844000000000001,12.7244,12.5806,12.7845
BSU01770,12.8476,12.892999999999999,12.9074,12.5845,12.3955,12.5821
new_200188_200276,14.2776,14.3059,14.3428,12.8344,12.7398,12.987
BSU01780,13.8346,13.9386,14.1619,12.5465,12.3725,12.5715
new_201802_202546_c,9.3132,9.1028,9.1537,9.112,8.9676,9.0772
BSU01800,9.8604,9.7803,9.8545,9.4549,9.4193,9.5539
BSU01810,7.8294,7.6737,7.68,7.4273,7.3493,7.3835
BSU01820,7.8832,7.7736,7.7866,7.5652,7.5352,7.5437
new_204891_204975,8.2338,8.3177,8.3329,8.0517,7.8996,7.9859
new_204977_205210,14.9056,15.0343,14.4179,14.8624,14.7648,14.498
new_205212_205408,8.1202,8.1376,8.3593,7.6904,8.0501,7.9065
BSU01830,7.9165,7.5926,7.9483,7.5857,7.5729999999999995,7.6442
BSU01845,8.2526,7.8476,8.2294,8.0071,8.1423,8.1657
new_209557_209632,8.8814,8.3203,8.7961,8.4841,8.4669,8.5521
BSU01860,9.2092,8.7095,8.9739,8.6501,8.7097,8.8114
BSU01870,9.1588,9.0217,9.3517,8.7243,8.8297,8.8577
BSU01880,9.0906,8.836,9.1234,8.7825,8.8179,8.7647
new_210947_211412,8.0997,7.9864,8.2963,8.0683,8.169,7.9767
BSU01889,12.1061,12.0849,11.9124,11.4415,11.1892,10.8085
new_211769_211858,7.2405,7.0929,6.997999999999999,7.1547,7.1285,6.9854
BSU01890,8.0618,8.1286,8.1144,8.2969,8.5361,8.5192
BSU01900,6.9377,6.9128,6.83,6.9563,6.8219,7.0593
new_213878_213940,14.3199,14.7327,14.5334,14.3543,13.5564,13.4321
BSU01910,14.2195,14.8142,14.4946,14.3231,14.0816,13.3253
BSU01920,12.0072,12.5649,12.3943,9.8392,9.6118,9.6259
BSU01935,12.182,12.709000000000001,12.5691,9.8832,9.6458,9.7515
BSU01950,11.9097,12.1868,12.1331,10.2115,10.0675,10.1939
BSU01960,11.4738,11.8797,11.8039,9.8625,9.6881,9.9014
BSU01970,11.4553,11.9288,11.749,9.9198,9.8641,10.042
BSU01980,11.300999999999998,11.69,11.6027,9.7243,9.6592,9.8422
new_220033_220103,11.2357,11.7392,11.5787,9.8121,9.7373,9.974
new_220105_220278,9.721,9.9142,9.9569,8.3353,8.1806,8.3916
BSU01990,9.562000000000001,9.7061,9.5854,8.2279,8.056000000000001,8.2632
BSU02000,9.7226,9.7994,9.8024,8.8621,8.8332,8.974
BSU02010,10.7503,11.1192,10.8262,9.9862,9.794,9.8973
BSU02019,11.6065,11.8141,11.5545,11.6581,11.3516,11.2817
BSU02030,9.1727,9.0442,9.0404,8.6276,8.5255,8.5986
BSU02040,11.4684,11.6268,11.5248,9.861,9.7827,9.9631
BSU02050,13.2556,13.2036,13.2034,12.0232,11.9062,11.8709
new_226436_226565,11.6013,11.767999999999999,11.5414,10.3193,9.9053,10.2204
BSU02060,10.4706,10.4346,10.2702,9.1513,9.2098,9.2479
BSU02070,7.4257,7.3234,7.4039,7.9094,8.1606,7.7149
BSU02080,7.2516,7.0548,7.1871,7.5188,7.7351,7.3662
BSU02090,8.4692,8.4253,8.398,7.7502,7.7058,7.6756
BSU02100,7.9148,7.8584,7.8532,12.8914,13.1295,12.8687
BSU02110,10.24,10.465,10.1641,15.958,15.988,15.9682
BSU02120,12.5782,12.6404,12.6697,11.9258,12.0582,12.0695
BSU02130,10.2284,10.2244,10.2362,8.5991,8.3379,8.3691
BSU02140,10.2636,10.1925,10.2573,8.1371,7.983,8.0765
new_234998_235624,7.2107,7.0593,7.0557,7.2921,7.2098,7.2644
new_235329_235401_c,9.7125,10.1437,9.544,8.4373,8.122,8.1831
new_235403_235489_c,9.8739,10.0008,9.9069,8.3418,8.1216,8.1563
BSU02150,7.9758,7.8396,7.8587,7.9013,7.851,7.8205
BSU02160,9.8703,9.831,9.7058,10.109,9.8098,10.1763
BSU02170,8.9253,8.8282,8.8169,9.2558,9.0577,9.402000000000001
BSU02180,10.7503,10.8955,10.9147,10.7721,10.5903,10.75
new_238449_238569_c,11.7583,11.7891,11.8454,11.6722,11.7173,11.8139
new_238571_238643_c,11.8823,11.9687,12.0135,11.9273,11.8934,12.0084
BSU02190,11.5143,11.6468,11.7418,11.9176,11.9569,12.0927
new_239556_239643_c,11.1656,11.5171,11.4849,11.6594,11.7346,11.855
BSU02200,8.7737,8.6146,8.7282,8.6161,8.6452,8.6551
BSU02210,8.842,8.7766,8.7611,8.4639,8.4655,8.5501
BSU02220,9.2713,9.1888,9.2446,8.8882,8.8202,9.0223
BSU02230,12.3798,12.2777,12.3621,10.854000000000001,10.7326,10.9259
BSU02240,12.035,12.0634,12.2707,11.4328,11.3651,11.3613
BSU02250,11.8365,11.9094,11.9978,11.2554,11.3745,11.2875
new_246583_246657,12.6613,12.4144,12.5986,11.9582,11.9251,11.8168
BSU02260,11.7316,11.7513,11.7106,10.8253,10.7343,10.8592
new_247549_247743,11.4276,11.6335,11.6494,10.9055,10.9994,11.0629
BSU02270,11.4901,11.5011,11.6216,11.2492,11.1479,11.3759
BSU02280,11.4875,11.3066,11.4037,11.0223,11.1409,11.2046
BSU02290,11.1394,11.083,11.1591,10.8166,10.7814,10.9765
BSU02300,8.0558,7.7952,7.6621,8.0096,7.9625,7.9679
BSU02310,10.8665,11.1161,10.7616,13.1599,12.9487,13.4908
BSU02320,10.231,10.2997,10.044,11.4573,11.14,11.8951
new_252315_252458,10.3241,10.4497,10.2565,11.5134,11.2737,12.1333
BSU02330,12.3209,12.2885,12.3727,12.8324,12.5982,12.7662
BSU02340,8.6393,8.6724,8.6966,8.3217,8.2686,8.3208
BSU02350,11.3785,11.2577,11.3502,9.6487,9.32,9.5975
BSU02360,11.5111,11.2379,11.3875,9.842,9.7949,9.9665
new_257545_257726,9.34,9.316,9.207,8.8451,8.7191,8.7974
new_257573_257643_c,12.0659,11.7208,11.7698,10.5131,10.4359,10.5597
BSU02370,10.845999999999998,10.6396,10.796,10.4007,10.2323,10.5481
BSU02380,9.8556,9.5987,9.7086,9.4291,9.3167,9.5318
new_258887_259015,12.0587,11.9827,11.9649,9.6042,9.5132,9.3745
BSU02390,11.4728,11.4071,11.5391,9.5578,9.4573,9.3908
BSU02400,11.4428,11.4313,11.6281,9.3224,9.3007,9.3595
new_261536_261647_c,12.1547,12.4665,12.5232,10.2985,10.1405,10.3677
BSU02410,10.6549,10.6063,10.8497,9.5733,9.5364,9.701
BSU02420,7.1976,6.9816,6.9116,7.7128,7.7038,7.6242
BSU02430,7.103,6.8998,6.8288,7.0031,6.9124,7.0025
BSU02440,9.0571,8.6711,9.0341,9.1178,9.1641,9.2873
BSU02450,9.247,9.0856,9.2321,9.1271,9.1216,9.1884
new_267772_267889,8.5123,8.5076,8.3988,8.0307,7.8101,7.7591
BSU02460,7.77,7.5579,7.5175,7.3743,7.1576,7.2711
BSU02470,7.5682,7.5441,7.4379,7.3133,7.1592,7.2566
BSU02480,7.4471,7.2372,7.2012,7.2452,7.1693,7.1706
BSU02490,7.3423,7.2195,7.1437,7.1671,6.9816,7.0974
BSU02500,10.3034,10.2388,10.2908,10.2083,9.9774,10.0614
BSU02510,8.0049,7.9007,7.8285,7.7002,7.551,7.7058
new_275603_275837,12.2042,12.2692,11.9484,10.9619,10.935,11.2514
BSU02520,11.6815,11.7762,11.7974,10.5847,10.4961,10.8377
BSU_misc_RNA_6,12.4738,12.4972,12.4162,12.4765,12.3271,12.2326
BSU02530,9.2953,9.231,9.2745,9.1916,9.1175,9.2119
BSU02540,8.9034,8.8088,8.7592,8.5889,8.5582,8.7151
new_278308_278376,11.1541,11.3621,11.2031,9.4623,8.7612,9.8952
BSU02550,9.9267,9.7136,9.8749,8.5236,8.3634,8.4649
BSU02560,10.0037,9.4966,9.738999999999999,8.2979,8.0884,8.3239
BSU02570,9.9864,9.8256,9.9597,8.6956,8.5084,8.7097
new_280556_281740_c,7.5066,7.7203,7.178,9.0992,9.3252,8.988
BSU02580,9.7222,9.6741,9.7721,8.5725,8.3376,8.4716
BSU02590,10.2382,10.635,10.2157,15.6224,15.7584,15.2279
new_282233_283231_c,10.25,11.11,10.3,10.57,10.04,9.9
BSU02600,8.4927,8.5287,8.8863,7.9346,8.0832,7.4373
BSU02610,9.2936,9.1686,9.2686,8.7337,8.5878,8.7609
BSU02619,7.1744,6.9479,6.9058,6.9692,6.9573,7.0461
BSU02620,7.2436,7.0532,7.0089,7.4207,7.3418,7.3103
BSU02630,7.1891,7.0252,6.9110000000000005,7.3804,7.2547,7.4617
new_285988_286047,7.1675,6.97,6.8857,7.1613,7.1098,7.0237
BSU02640,7.2793,7.0193,6.8829,7.1863,7.0572,7.1373
BSU02650,10.2099,10.2732,10.2612,9.9596,9.6388,9.8488
BSU02660,9.792,9.8069,9.8958,9.5231,9.6131,9.5712
BSU02670,11.035,10.9599,11.017999999999999,10.4126,10.4228,10.6465
BSU02680,11.3307,11.1485,11.3506,10.6939,10.707,10.8082
BSU02690,8.0949,7.9441,7.9744,8.148,7.9655,8.0444
BSU02700,13.5129,13.7615,13.6232,11.2323,11.0367,11.1055
new_292874_293464,11.1704,11.3029,11.2629,9.0971,8.6132,8.8444
BSU02710,8.4933,8.2466,8.3074,8.6821,8.2643,8.4876
