# SignalP-5.0	Organism: Gram-positive	Timestamp: 20190601013451
# ID	Prediction	SP(Sec/SPI)	TAT(Tat/SPI)	LIPO(Sec/SPII)	OTHER	CS Position
_BSU01660	LIPO(Sec/SPII)	0.163543	0.004119	0.828704	0.003634	CS pos: 16-17. FLS-CF. Pr: 0.8200
_BSU01680	OTHER	0.011839	0.000439	0.002902	0.984821	
_BSU01740	OTHER	0.002627	0.000235	0.000408	0.996730	
_BSU01750	OTHER	0.000923	0.000069	0.000393	0.998616	
_BSU01760	SP(Sec/SPI)	0.567817	0.005680	0.310846	0.115656	CS pos: 28-29. VNS-NQ. Pr: 0.2118
_BSU01830	OTHER	0.021026	0.002977	0.056370	0.919627	
_BSU01890	OTHER	0.029914	0.000454	0.056573	0.913058	
_BSU01900	OTHER	0.009278	0.000227	0.001093	0.989402	
_BSU01910	LIPO(Sec/SPII)	0.102347	0.066942	0.597657	0.233053	CS pos: 29-30. AAG-CM. Pr: 0.3223
_BSU01935	OTHER	0.421690	0.005065	0.008193	0.565052	
_BSU01950	OTHER	0.072842	0.002156	0.001759	0.923243	
_BSU01960	OTHER	0.040851	0.001712	0.053256	0.904181	
_BSU01990	OTHER	0.028862	0.000443	0.017574	0.953120	
_BSU02010	OTHER	0.003396	0.000162	0.050156	0.946286	
_BSU02060	OTHER	0.031143	0.015589	0.096584	0.856684	
_BSU02120	OTHER	0.022013	0.012959	0.063100	0.901928	
_BSU02140	OTHER	0.006399	0.000803	0.000784	0.992014	
_BSU02150	OTHER	0.005674	0.000402	0.247448	0.746476	
_BSU02170	OTHER	0.468453	0.002780	0.052359	0.476408	
_BSU02190	OTHER	0.009632	0.000246	0.002293	0.987829	
_BSU02200	OTHER	0.016652	0.000473	0.001600	0.981275	
_BSU02210	OTHER	0.025771	0.003210	0.009988	0.961031	
_BSU02240	SP(Sec/SPI)	0.990034	0.007715	0.001819	0.000433	CS pos: 34-35. AKA-AE. Pr: 0.9678
_BSU02270	OTHER	0.013992	0.000357	0.001963	0.983688	
_BSU02280	OTHER	0.007907	0.000162	0.024544	0.967387	
_BSU02290	OTHER	0.004180	0.000265	0.000989	0.994566	
_BSU02340	OTHER	0.177260	0.001194	0.038369	0.783177	
_BSU02350	OTHER	0.043700	0.003048	0.019500	0.933753	
_BSU02380	OTHER	0.015853	0.000513	0.012188	0.971445	
_BSU02400	OTHER	0.065357	0.038547	0.072488	0.823607	
_BSU02420	OTHER	0.001464	0.000241	0.000690	0.997605	
_BSU02440	OTHER	0.003278	0.000202	0.001585	0.994935	
_BSU02480	SP(Sec/SPI)	0.487695	0.001959	0.031724	0.478622	CS pos: 34-35. NYA-DR. Pr: 0.1703
_BSU02540	OTHER	0.007600	0.001303	0.164738	0.826360	
_BSU02560	LIPO(Sec/SPII)	0.045207	0.001311	0.548621	0.404860	CS pos: 13-14. ALA-CL. Pr: 0.5494
_BSU02580	OTHER	0.052795	0.000553	0.005069	0.941583	
_BSU02590	OTHER	0.006264	0.000207	0.006030	0.987499	
_BSU02600	OTHER	0.017501	0.001155	0.001783	0.979561	
_BSU02630	SP(Sec/SPI)	0.602865	0.012458	0.013884	0.370794	CS pos: 32-33. GRA-AG. Pr: 0.3795
_BSU02640	OTHER	0.001933	0.000171	0.002670	0.995225	
_BSU02670	OTHER	0.057813	0.000423	0.018429	0.923335	
_BSU02700	SP(Sec/SPI)	0.968604	0.029696	0.000686	0.001014	CS pos: 31-32. AKA-AE. Pr: 0.9860
_BSU02710	OTHER	0.013739	0.001603	0.036859	0.947800	
_BSU02730	OTHER	0.341103	0.031751	0.107569	0.519578	
_BSU02760	OTHER	0.036540	0.000556	0.002729	0.960175	
_BSU02780	LIPO(Sec/SPII)	0.002999	0.000112	0.996635	0.000254	CS pos: 21-22. TAA-CS. Pr: 0.9972
_BSU02810	OTHER	0.329734	0.001191	0.241889	0.427186	
_BSU02850	LIPO(Sec/SPII)	0.006331	0.000130	0.993367	0.000172	CS pos: 20-21. VAA-CG. Pr: 0.9886
_BSU02860	OTHER	0.004354	0.000294	0.000719	0.994633	
_BSU02870	OTHER	0.011420	0.194075	0.006388	0.788116	
_BSU02920	OTHER	0.007257	0.000760	0.000536	0.991447	
_BSU02950	OTHER	0.011938	0.000432	0.005091	0.982540	
_BSU02960	OTHER	0.076873	0.001422	0.036852	0.884853	
_BSU02980	OTHER	0.015993	0.000937	0.001266	0.981804	
_BSU02990	OTHER	0.003826	0.000167	0.008473	0.987534	
_BSU03000	LIPO(Sec/SPII)	0.007205	0.000253	0.992209	0.000334	CS pos: 20-21. LAA-CG. Pr: 0.9935
_BSU03020	OTHER	0.329579	0.008155	0.044210	0.618056	
_BSU03040	SP(Sec/SPI)	0.971834	0.022867	0.003567	0.001732	CS pos: 33-34. ASA-ET. Pr: 0.5704
_BSU03060	OTHER	0.001823	0.000247	0.001797	0.996134	
_BSU03070	SP(Sec/SPI)	0.481027	0.008201	0.159562	0.351210	CS pos: 35-36. ATA-MG. Pr: 0.2505
_BSU03090	SP(Sec/SPI)	0.791553	0.012641	0.039944	0.155862	CS pos: 23-24. VNA-AQ. Pr: 0.7913
_BSU03110	OTHER	0.005848	0.000442	0.334083	0.659626	
_BSU03140	OTHER	0.009132	0.000380	0.002781	0.987707	
_BSU03220	OTHER	0.047499	0.003393	0.036746	0.912362	
_BSU03240	OTHER	0.181875	0.001483	0.025149	0.791494	
_BSU03250	OTHER	0.003333	0.000256	0.003317	0.993093	
_BSU03330	OTHER	0.005692	0.000216	0.002480	0.991612	
_BSU03350	LIPO(Sec/SPII)	0.000883	0.000138	0.998670	0.000309	CS pos: 19-20. LSA-CS. Pr: 0.9995
_BSU03360	OTHER	0.054228	0.000452	0.015988	0.929332	
_BSU03370	OTHER	0.001309	0.000225	0.001361	0.997105	
_BSU03380	LIPO(Sec/SPII)	0.000879	0.000064	0.998843	0.000214	CS pos: 24-25. LAA-CS. Pr: 0.9994
_BSU03390	OTHER	0.002316	0.000134	0.021352	0.976199	
_BSU03420	OTHER	0.006189	0.000235	0.000920	0.992656	
_BSU03430	SP(Sec/SPI)	0.607638	0.014635	0.066722	0.311005	CS pos: 33-34. FSA-DQ. Pr: 0.1954
_BSU03440	SP(Sec/SPI)	0.482802	0.002296	0.142300	0.372601	CS pos: 34-35. VML-KE. Pr: 0.1349
_BSU03530	OTHER	0.051710	0.003298	0.177649	0.767343	
_BSU03540	OTHER	0.005408	0.000242	0.006500	0.987850	
_BSU03550	OTHER	0.039335	0.002119	0.004485	0.954061	
_BSU03580	OTHER	0.149738	0.002488	0.056249	0.791525	
_BSU03590	OTHER	0.012148	0.000601	0.000899	0.986352	
_BSU03600	OTHER	0.007660	0.000455	0.006161	0.985724	
_BSU03610	LIPO(Sec/SPII)	0.001070	0.000090	0.998625	0.000214	CS pos: 19-20. LAA-CG. Pr: 0.9989
_BSU03670	OTHER	0.001174	0.000106	0.000237	0.998483	
_BSU03690	OTHER	0.108533	0.001000	0.063709	0.826758	
_BSU03700	OTHER	0.006528	0.001358	0.000860	0.991254	
_BSU03710	LIPO(Sec/SPII)	0.003562	0.000079	0.995080	0.001279	CS pos: 20-21. LPG-CW. Pr: 0.9959
_BSU03720	OTHER	0.093495	0.002453	0.071751	0.832302	
_BSU03740	SP(Sec/SPI)	0.648766	0.016541	0.044836	0.289857	CS pos: 42-43. SAA-QK. Pr: 0.4127
_BSU03760	OTHER	0.077059	0.000711	0.004282	0.917948	
_BSU03788	OTHER	0.105384	0.008310	0.134953	0.751353	
_BSU03789	OTHER	0.040304	0.006365	0.060875	0.892457	
_BSU03800	OTHER	0.211696	0.000457	0.136440	0.651407	
_BSU03810	OTHER	0.027564	0.001378	0.036696	0.934362	
_BSU03830	LIPO(Sec/SPII)	0.001641	0.000071	0.998152	0.000136	CS pos: 19-20. ISA-CG. Pr: 0.9986
_BSU03840	OTHER	0.090091	0.005216	0.005899	0.898794	
_BSU03920	OTHER	0.010533	0.000317	0.070671	0.918478	
_BSU03940	SP(Sec/SPI)	0.990075	0.003265	0.005322	0.001337	CS pos: 26-27. ASA-HV. Pr: 0.7440
_BSU03950	SP(Sec/SPI)	0.984756	0.006493	0.003027	0.005724	CS pos: 25-26. AHA-YI. Pr: 0.7905
_BSU03970	OTHER	0.005742	0.000363	0.015574	0.978321	
_BSU03981	OTHER	0.008324	0.001042	0.003178	0.987456	
_BSU03982	OTHER	0.003759	0.001219	0.000520	0.994501	
_BSU04010	OTHER	0.042550	0.000381	0.007917	0.949152	
_BSU04060	OTHER	0.203523	0.012203	0.147004	0.637270	
_BSU04110	OTHER	0.005486	0.001114	0.001819	0.991581	
_BSU04120	OTHER	0.067330	0.000527	0.017615	0.914528	
_BSU04140	LIPO(Sec/SPII)	0.000552	0.000061	0.999232	0.000155	CS pos: 20-21. LIG-CS. Pr: 0.9995
_BSU04230	OTHER	0.297719	0.005838	0.013555	0.682888	
_BSU04240	OTHER	0.005354	0.000597	0.039856	0.954193	
_BSU04270	LIPO(Sec/SPII)	0.013653	0.000160	0.985933	0.000253	CS pos: 20-21. SAG-CA. Pr: 0.9854
_BSU04280	OTHER	0.024631	0.000541	0.044385	0.930443	
_BSU04290	SP(Sec/SPI)	0.980588	0.004699	0.006094	0.008619	CS pos: 21-22. AQA-KD. Pr: 0.8883
_BSU04300	OTHER	0.018328	0.000525	0.005360	0.975787	
_BSU04310	SP(Sec/SPI)	0.983159	0.001821	0.012779	0.002240	CS pos: 23-24. ALA-KD. Pr: 0.9639
_BSU04320	OTHER	0.012192	0.000922	0.007175	0.979712	
_BSU04359	OTHER	0.069994	0.001673	0.298305	0.630027	
_BSU04360	OTHER	0.031527	0.006475	0.009225	0.952773	
_BSU04370	OTHER	0.025785	0.000645	0.133899	0.839671	
_BSU04440	OTHER	0.349444	0.001063	0.086166	0.563327	
_BSU04450	OTHER	0.163003	0.001096	0.077718	0.758182	
_BSU04470	OTHER	0.123972	0.000628	0.019930	0.855469	
_BSU04480	OTHER	0.001164	0.000583	0.003089	0.995164	
_BSU04500	OTHER	0.097022	0.001696	0.012341	0.888941	
_BSU04510	OTHER	0.003073	0.000315	0.050701	0.945911	
_BSU04540	OTHER	0.162001	0.003898	0.001642	0.832460	
_BSU04580	OTHER	0.011051	0.002941	0.000965	0.985043	
_BSU04590	OTHER	0.001062	0.000371	0.076419	0.922148	
_BSU04600	OTHER	0.001921	0.000097	0.043101	0.954880	
_BSU04610	OTHER	0.078348	0.005593	0.005857	0.910202	
_BSU04630	LIPO(Sec/SPII)	0.000684	0.000088	0.998968	0.000259	CS pos: 23-24. LSA-CG. Pr: 0.9996
_BSU04860	OTHER	0.002508	0.000163	0.002205	0.995125	
_BSU04910	OTHER	0.018319	0.000696	0.019581	0.961405	
_BSU04920	OTHER	0.009355	0.000171	0.011552	0.978922	
_BSU04930	OTHER	0.000944	0.000100	0.003327	0.995628	
_BSU04960	SP(Sec/SPI)	0.970152	0.001566	0.020520	0.007761	CS pos: 30-31. VFS-AD. Pr: 0.7827
_BSU04980	SP(Sec/SPI)	0.434809	0.001302	0.264049	0.299840	CS pos: 24-25. TIG-QQ. Pr: 0.2657
_BSU05030	OTHER	0.127588	0.001164	0.015551	0.855698	
_BSU05090	OTHER	0.018744	0.011244	0.001011	0.969001	
_BSU05099	OTHER	0.021529	0.000575	0.157197	0.820699	
_BSU05109	OTHER	0.068349	0.000544	0.052538	0.878569	
_BSU05140	OTHER	0.017589	0.000750	0.072573	0.909088	
_BSU05160	OTHER	0.031773	0.026630	0.323612	0.617984	
_BSU05190	OTHER	0.028022	0.007392	0.002255	0.962332	
_BSU05200	OTHER	0.157414	0.015819	0.009027	0.817739	
_BSU05220	LIPO(Sec/SPII)	0.000399	0.000067	0.999379	0.000156	CS pos: 22-23. LAG-CT. Pr: 0.9998
_BSU05230	OTHER	0.053006	0.004325	0.030292	0.912377	
_BSU05280	OTHER	0.253161	0.000730	0.051718	0.694392	
_BSU05310	LIPO(Sec/SPII)	0.018250	0.001032	0.628700	0.352017	CS pos: 23-24. ATA-CG. Pr: 0.6258
_BSU05340	OTHER	0.055162	0.000687	0.024034	0.920117	
_BSU05360	OTHER	0.260144	0.014260	0.032215	0.693381	
_BSU05408	OTHER	0.035685	0.001431	0.049137	0.913747	
_BSU05410	OTHER	0.002107	0.000159	0.066724	0.931010	
_BSU05430	SP(Sec/SPI)	0.755897	0.007918	0.031074	0.205111	CS pos: 42-43. SFS-ED. Pr: 0.6324
_BSU05450	OTHER	0.009086	0.000286	0.010663	0.979965	
_BSU05470	OTHER	0.179769	0.031193	0.057519	0.731519	
_BSU05500	OTHER	0.015469	0.000392	0.006163	0.977976	
_BSU05530	OTHER	0.015824	0.000635	0.002134	0.981407	
_BSU05540	OTHER	0.021899	0.001689	0.006059	0.970354	
_BSU05590	OTHER	0.040513	0.000519	0.088412	0.870556	
_BSU05620	OTHER	0.009281	0.005464	0.055442	0.929813	
_BSU05650	SP(Sec/SPI)	0.821124	0.006529	0.020443	0.151904	CS pos: 33-34. ELA-NQ. Pr: 0.1820
_BSU05680	OTHER	0.077464	0.006252	0.033276	0.883009	
_BSU05690	OTHER	0.037115	0.012998	0.023135	0.926752	
_BSU05710	OTHER	0.006511	0.000670	0.001256	0.991563	
_BSU05760	OTHER	0.057683	0.000724	0.029906	0.911687	
_BSU05800	OTHER	0.160972	0.001808	0.051846	0.785374	
_BSU05830	OTHER	0.001815	0.000195	0.000769	0.997221	
_BSU05880	SP(Sec/SPI)	0.989762	0.000883	0.007961	0.001394	CS pos: 26-27. IEA-HT. Pr: 0.7644
_BSU05980	OTHER	0.475764	0.012938	0.020082	0.491216	
_BSU05990	OTHER	0.015119	0.000518	0.002436	0.981926	
_BSU06000	LIPO(Sec/SPII)	0.026594	0.004830	0.697287	0.271289	CS pos: 15-16. AVG-CI. Pr: 0.6765
_BSU06010	OTHER	0.059078	0.001018	0.031898	0.908007	
_BSU06160	OTHER	0.003780	0.000184	0.002417	0.993619	
_BSU06190	OTHER	0.027114	0.001431	0.061974	0.909480	
_BSU06200	SP(Sec/SPI)	0.951548	0.013527	0.002877	0.032048	CS pos: 29-30. VRA-SE. Pr: 0.8633
_BSU06220	OTHER	0.020371	0.001774	0.006114	0.971741	
_BSU06230	OTHER	0.137076	0.004710	0.033468	0.824745	
_BSU06269	OTHER	0.013801	0.000604	0.003442	0.982152	
_BSU06310	OTHER	0.095750	0.010700	0.090264	0.803286	
_BSU06320	OTHER	0.126583	0.009056	0.002325	0.862036	
_BSU06330	OTHER	0.014317	0.006959	0.002247	0.976477	
_BSU06350	OTHER	0.020399	0.000767	0.032912	0.945923	
_BSU06370	OTHER	0.198482	0.005059	0.002027	0.794432	
_BSU06380	OTHER	0.017411	0.038310	0.004081	0.940198	
_BSU06400	OTHER	0.002525	0.000120	0.000531	0.996823	
_BSU06550	LIPO(Sec/SPII)	0.030215	0.021569	0.687514	0.260702	CS pos: 24-25. VLG-CG. Pr: 0.6779
_BSU06559	OTHER	0.320529	0.057691	0.220064	0.401717	
_BSU06570	LIPO(Sec/SPII)	0.001551	0.000080	0.998103	0.000267	CS pos: 19-20. LVS-CQ. Pr: 0.9986
_BSU06590	OTHER	0.012005	0.000566	0.003695	0.983735	
_BSU06630	LIPO(Sec/SPII)	0.000872	0.000093	0.998778	0.000258	CS pos: 18-19. LSA-CS. Pr: 0.9994
_BSU06650	OTHER	0.038493	0.007885	0.044316	0.909307	
_BSU06660	OTHER	0.013764	0.000552	0.008080	0.977603	
_BSU06710	SP(Sec/SPI)	0.555512	0.008641	0.138350	0.297496	CS pos: 29-30. LYA-GM. Pr: 0.1890
_BSU06820	OTHER	0.230922	0.002917	0.041499	0.724662	
_BSU06839	SP(Sec/SPI)	0.882618	0.006776	0.078503	0.032103	CS pos: 28-29. TNS-GG. Pr: 0.3797
_BSU06850	OTHER	0.463400	0.005160	0.010617	0.520823	
_BSU06930	LIPO(Sec/SPII)	0.001965	0.000603	0.519870	0.477562	CS pos: 23-24. VTA-CL. Pr: 0.5180
_BSU06940	OTHER	0.085957	0.003596	0.004087	0.906359	
_BSU06950	OTHER	0.057695	0.000543	0.017018	0.924743	
_BSU06980	OTHER	0.048714	0.002349	0.006275	0.942662	
_BSU06990	OTHER	0.004247	0.001036	0.001786	0.992931	
_BSU07010	OTHER	0.066472	0.004559	0.173550	0.755419	
_BSU07050	SP(Sec/SPI)	0.856216	0.042295	0.084684	0.016805	CS pos: 35-36. VKA-EG. Pr: 0.6355
_BSU07060	OTHER	0.005969	0.001122	0.000982	0.991928	
_BSU07100	LIPO(Sec/SPII)	0.002288	0.000079	0.997453	0.000181	CS pos: 21-22. IAG-CS. Pr: 0.9979
_BSU07110	OTHER	0.001113	0.000176	0.012539	0.986173	
_BSU07120	OTHER	0.074812	0.007426	0.002810	0.914952	
_BSU07140	OTHER	0.024892	0.000427	0.013073	0.961608	
_BSU07200	OTHER	0.001740	0.000189	0.004621	0.993451	
_BSU07210	OTHER	0.027605	0.022298	0.022737	0.927359	
_BSU07260	OTHER	0.093459	0.000483	0.071605	0.834453	
_BSU07320	OTHER	0.029155	0.000351	0.002544	0.967950	
_BSU07340	OTHER	0.017674	0.002212	0.095414	0.884701	
_BSU07360	OTHER	0.004256	0.000173	0.000238	0.995334	
_BSU07380	OTHER	0.065117	0.001127	0.416756	0.517000	
_BSU07400	OTHER	0.179005	0.013455	0.071153	0.736387	
_BSU07460	OTHER	0.008379	0.000257	0.003010	0.988355	
_BSU07490	OTHER	0.007989	0.000517	0.000955	0.990538	
_BSU07500	OTHER	0.077099	0.000535	0.007109	0.915257	
_BSU07510	SP(Sec/SPI)	0.675691	0.028112	0.017993	0.278204	CS pos: 35-36. VGA-SD. Pr: 0.6137
_BSU07520	LIPO(Sec/SPII)	0.000577	0.000189	0.999010	0.000225	CS pos: 24-25. VSG-CS. Pr: 0.7462
_BSU07560	SP(Sec/SPI)	0.997857	0.000411	0.001284	0.000449	CS pos: 21-22. ANA-AD. Pr: 0.9837
_BSU07570	OTHER	0.015054	0.000547	0.005791	0.978608	
_BSU07580	OTHER	0.256820	0.005847	0.019684	0.717648	
_BSU07610	OTHER	0.017557	0.000948	0.010583	0.970911	
_BSU07670	OTHER	0.016986	0.000498	0.058629	0.923887	
_BSU07700	OTHER	0.175300	0.005547	0.060082	0.759071	
_BSU07710	OTHER	0.006130	0.000154	0.008586	0.985130	
_BSU07750	OTHER	0.002474	0.000358	0.004035	0.993134	
_BSU07760	OTHER	0.019654	0.002255	0.014456	0.963636	
_BSU07770	OTHER	0.003708	0.000585	0.016722	0.978985	
_BSU07780	LIPO(Sec/SPII)	0.001036	0.000110	0.998251	0.000604	CS pos: 20-21. LTG-CW. Pr: 0.9994
_BSU07790	OTHER	0.007348	0.002324	0.001112	0.989217	
_BSU07800	OTHER	0.006772	0.001553	0.001465	0.990210	
_BSU07840	SP(Sec/SPI)	0.987452	0.009148	0.000739	0.002660	CS pos: 35-36. IHA-EE. Pr: 0.9733
_BSU07860	OTHER	0.261112	0.004489	0.072419	0.661980	
_BSU07900	OTHER	0.007933	0.000642	0.002386	0.989040	
_BSU07910	OTHER	0.214283	0.006438	0.107711	0.671568	
_BSU07920	OTHER	0.076161	0.003876	0.024806	0.895156	
_BSU07940	OTHER	0.008396	0.000165	0.001007	0.990432	
_BSU07980	SP(Sec/SPI)	0.989617	0.000468	0.009418	0.000496	CS pos: 23-24. AEA-VP. Pr: 0.5567
_BSU08000	OTHER	0.001042	0.000124	0.000191	0.998644	
_BSU08029	OTHER	0.105780	0.001186	0.027901	0.865132	
_BSU08120	OTHER	0.008027	0.000357	0.026731	0.964885	
_BSU08130	OTHER	0.027022	0.043308	0.003280	0.926390	
_BSU08140	LIPO(Sec/SPII)	0.001193	0.000670	0.667136	0.331001	CS pos: 29-30. GLA-CL. Pr: 0.6020
_BSU08200	OTHER	0.141826	0.002760	0.045895	0.809519	
_BSU08210	OTHER	0.046260	0.000688	0.017043	0.936009	
_BSU08220	OTHER	0.012627	0.000469	0.006631	0.980272	
_BSU08230	OTHER	0.022453	0.000322	0.060129	0.917095	
_BSU08260	OTHER	0.094879	0.012846	0.006891	0.885383	
_BSU08290	OTHER	0.077904	0.000998	0.154119	0.766979	
_BSU08320	OTHER	0.394630	0.006229	0.161971	0.437170	
_BSU08330	OTHER	0.079988	0.001932	0.021122	0.896957	
_BSU08350	SP(Sec/SPI)	0.996236	0.001279	0.002045	0.000439	CS pos: 28-29. AKA-ES. Pr: 0.9207
_BSU08360	SP(Sec/SPI)	0.794937	0.012987	0.006299	0.185777	CS pos: 35-36. ALA-DI. Pr: 0.4597
_BSU08380	OTHER	0.030076	0.003501	0.011958	0.954465	
_BSU08400	OTHER	0.300476	0.010403	0.048667	0.640454	
_BSU08425	OTHER	0.016884	0.000279	0.021789	0.961048	
_BSU08440	LIPO(Sec/SPII)	0.000524	0.000118	0.999105	0.000253	CS pos: 20-21. LSA-CN. Pr: 0.9998
_BSU08450	LIPO(Sec/SPII)	0.252489	0.000885	0.517015	0.229611	CS pos: 24-25. TAV-CA. Pr: 0.4636
_BSU08460	OTHER	0.096874	0.003134	0.077210	0.822782	
_BSU08540	OTHER	0.119751	0.000777	0.039995	0.839476	
_BSU08580	OTHER	0.056180	0.001386	0.009542	0.932892	
_BSU08600	OTHER	0.011749	0.000113	0.000949	0.987189	
_BSU08610	SP(Sec/SPI)	0.837500	0.005660	0.008972	0.147868	CS pos: 30-31. AEG-RY. Pr: 0.3335
_BSU08620	OTHER	0.399673	0.036144	0.019615	0.544568	
_BSU08690	OTHER	0.032839	0.000437	0.004167	0.962557	
_BSU08700	OTHER	0.177801	0.007807	0.037964	0.776428	
_BSU08740	OTHER	0.000951	0.000107	0.017520	0.981422	
_BSU08779	OTHER	0.003919	0.000397	0.000644	0.995041	
_BSU08830	OTHER	0.008352	0.001257	0.003541	0.986850	
_BSU08840	LIPO(Sec/SPII)	0.002187	0.000097	0.997421	0.000296	CS pos: 17-18. LAG-CG. Pr: 0.9981
_BSU08850	OTHER	0.034517	0.001222	0.005969	0.958292	
_BSU08890	LIPO(Sec/SPII)	0.109799	0.001060	0.662646	0.226494	CS pos: 17-18. GLA-CW. Pr: 0.6570
_BSU09000	OTHER	0.038645	0.005890	0.067473	0.887991	
_BSU09010	OTHER	0.121140	0.001105	0.008507	0.869248	
_BSU09030	SP(Sec/SPI)	0.763451	0.003949	0.057372	0.175227	CS pos: 25-26. RNA-SP. Pr: 0.2674
_BSU09050	OTHER	0.007600	0.001088	0.088393	0.902919	
_BSU09090	OTHER	0.216994	0.026033	0.008413	0.748560	
_BSU09110	LIPO(Sec/SPII)	0.002014	0.000096	0.997611	0.000279	CS pos: 19-20. FTA-CS. Pr: 0.9982
_BSU09120	OTHER	0.002902	0.000173	0.002129	0.994796	
_BSU09130	OTHER	0.014553	0.000888	0.009898	0.974661	
_BSU09150	LIPO(Sec/SPII)	0.001239	0.000080	0.998417	0.000264	CS pos: 20-21. MTG-CG. Pr: 0.9990
_BSU09180	OTHER	0.001690	0.000333	0.000346	0.997630	
_BSU09190	SP(Sec/SPI)	0.583167	0.009830	0.001316	0.405687	CS pos: 49-50. VKA-AE. Pr: 0.5638
_BSU09200	SP(Sec/SPI)	0.416017	0.002030	0.374931	0.207022	CS pos: 31-32. TKT-EQ. Pr: 0.0198
_BSU09280	OTHER	0.109681	0.004488	0.207271	0.678559	
_BSU09320	OTHER	0.003439	0.000475	0.000272	0.995814	
_BSU09370	SP(Sec/SPI)	0.995717	0.002078	0.000819	0.001387	CS pos: 26-27. AEA-AT. Pr: 0.9811
_BSU09420	SP(Sec/SPI)	0.981807	0.003228	0.012302	0.002663	CS pos: 25-26. ASA-QS. Pr: 0.8420
_BSU09460	OTHER	0.034698	0.010174	0.005812	0.949316	
_BSU09470	OTHER	0.003466	0.003215	0.049271	0.944048	
_BSU09500	OTHER	0.021997	0.000947	0.003572	0.973485	
_BSU09510	OTHER	0.002197	0.000554	0.000411	0.996839	
_BSU09540	OTHER	0.045738	0.000390	0.009892	0.943980	
_BSU09550	OTHER	0.202388	0.002337	0.077931	0.717345	
_BSU09590	OTHER	0.025913	0.002975	0.015475	0.955638	
_BSU09600	OTHER	0.021009	0.001031	0.009771	0.968189	
_BSU09610	OTHER	0.021703	0.000536	0.351943	0.625818	
_BSU09640	OTHER	0.000898	0.000221	0.000573	0.998308	
_BSU09660	OTHER	0.429435	0.040465	0.090637	0.439463	
_BSU09680	OTHER	0.006684	0.000458	0.169643	0.823214	
_BSU09710	OTHER	0.043499	0.000394	0.019289	0.936818	
_BSU09720	SP(Sec/SPI)	0.641878	0.002828	0.122783	0.232511	CS pos: 31-32. VGA-EL. Pr: 0.4083
_BSU09770	OTHER	0.003709	0.000686	0.000927	0.994678	
_BSU09780	OTHER	0.009595	0.001143	0.001620	0.987641	
_BSU09790	OTHER	0.035096	0.003465	0.084578	0.876861	
_BSU09850	OTHER	0.029190	0.001434	0.011424	0.957952	
_BSU09860	OTHER	0.004812	0.000267	0.000446	0.994475	
_BSU09870	SP(Sec/SPI)	0.594321	0.027544	0.013454	0.364680	CS pos: 32-33. VLP-SQ. Pr: 0.1985
_BSU09880	OTHER	0.006376	0.000785	0.000459	0.992380	
_BSU09890	OTHER	0.023068	0.005857	0.001187	0.969888	
_BSU09900	OTHER	0.132637	0.000362	0.006818	0.860183	
