BSUB_gene	ident	ECOLI_gene
BSU04300	0.25	b1022
BSU04310	0.26	b3532
BSU04320	0.01	NaN
BSU04330	0.01	NaN
BSU04340	0.37	b0871
BSU04359	0.01	NaN
BSU04360	0.51	b2392
BSU04370	0.34	b1195
BSU04380	0.01	NaN
BSU04390	0.01	NaN
BSU04400	0.01	NaN
BSU04410	0.46	b2460
BSU04420	0.01	NaN
BSU04430	0.01	NaN
BSU04440	0.29	b3579
BSU04450	0.01	NaN
BSU04460	0.01	NaN
BSU04470	0.57	b3528
BSU04480	0.01	NaN
BSU04490	0.01	NaN
BSU04500	0.01	NaN
BSU04510	0.31	b4544
BSU04520	0.01	NaN
BSU04530	0.30	b0368
BSU04540	0.01	NaN
BSU04550	0.01	NaN
BSU04560	0.43	b0381
BSU04570	0.35	b0086
BSU04580	0.43	b3162
BSU04590	0.44	b3458
BSU04600	0.01	NaN
BSU04610	0.01	NaN
BSU04620	0.38	b2563
BSU04630	0.01	NaN
BSU04640	0.35	b1190
BSU04650	0.01	NaN
BSU04660	0.32	b2782
BSU04670	0.01	NaN
BSU04680	0.27	b3102
BSU04690	0.01	NaN
BSU04700	0.01	NaN
BSU04710	0.01	NaN
BSU04720	0.01	NaN
BSU04730	0.01	NaN
BSU04740	0.01	NaN
BSU04750	0.01	NaN
BSU04760	0.01	NaN
BSU04770	0.01	NaN
BSU04780	0.43	b3407
BSU04790	0.34	b2944
BSU04800	0.25	b0537
BSU04810	0.01	NaN
BSU04820	0.26	b1570
BSU04830	0.01	NaN
BSU04839	0.01	NaN
BSU04840	0.01	NaN
BSU04850	0.01	NaN
BSU04860	0.01	NaN
BSU04870	0.01	NaN
BSU04880	0.01	NaN
BSU04890	0.01	NaN
BSU04900	0.01	NaN
BSU04910	0.26	b4262
BSU04920	0.01	NaN
BSU04930	0.01	NaN
BSU04940	0.01	NaN
BSU04950	0.01	NaN
BSU04960	0.01	NaN
BSU04970	0.01	NaN
BSU04980	0.28	b0139
BSU04990	0.01	NaN
BSU05000	0.01	NaN
BSU05010	0.01	NaN
BSU05020	0.01	NaN
BSU05030	0.01	NaN
BSU05040	0.01	NaN
BSU05050	0.01	NaN
BSU05060	0.01	NaN
BSU05070	0.01	NaN
BSU05080	0.01	NaN
BSU05090	0.01	NaN
BSU05099	0.01	NaN
BSU05100	0.01	NaN
BSU05109	0.01	NaN
BSU05110	0.25	b4325
BSU05120	0.72	b3556
BSU05130	0.01	NaN
BSU05140	0.01	NaN
BSU05150	0.24	b1696
BSU05160	0.32	b3660
BSU05170	0.01	NaN
BSU05180	0.01	NaN
BSU05190	0.01	NaN
BSU05200	0.01	NaN
BSU05210	0.01	NaN
BSU05220	0.01	NaN
BSU05230	0.01	NaN
BSU05240	0.01	NaN
BSU05250	0.01	NaN
BSU05260	0.01	NaN
BSU05270	0.01	NaN
BSU05280	0.01	NaN
BSU05290	0.01	NaN
BSU05300	0.01	NaN
BSU05310	0.01	NaN
BSU05320	0.01	NaN
BSU05329	0.01	NaN
BSU05330	0.01	NaN
BSU05340	0.59	b3502
BSU05350	0.01	NaN
BSU05360	0.28	b1959
BSU05370	0.26	b4340
BSU05380	0.01	NaN
BSU05390	0.01	NaN
BSU05400	0.28	b1753
BSU05408	0.01	NaN
BSU05409	0.01	NaN
BSU05410	0.01	NaN
BSU05420	0.01	NaN
BSU05430	0.25	b1036
BSU05440	0.01	NaN
BSU05450	0.24	b2966
BSU05460	0.01	NaN
BSU05470	0.22	b3915
BSU05480	0.25	b1008
BSU05490	0.01	NaN
BSU05500	0.01	NaN
BSU05510	0.35	b1926
BSU05520	0.01	NaN
BSU05529	0.01	NaN
BSU05530	0.27	b0906
BSU05540	0.01	NaN
BSU05550	0.01	NaN
BSU05560	0.01	NaN
BSU05570	0.01	NaN
BSU05580	0.01	NaN
BSU05590	0.01	NaN
BSU05600	0.01	NaN
BSU05610	0.01	NaN
BSU05620	0.54	b4208
BSU05630	0.01	NaN
BSU05640	0.01	NaN
BSU05650	0.01	NaN
BSU05660	0.01	NaN
BSU05670	0.33	b1642
BSU05680	0.32	b2182
BSU05690	0.45	b3361
BSU05700	0.23	b1540
BSU05710	0.01	NaN
BSU05720	0.01	NaN
BSU05730	0.39	b0196
BSU05740	0.01	NaN
BSU05750	0.25	b1353
BSU05760	0.01	NaN
BSU05770	0.27	b2434
BSU05780	0.19	b3145
BSU05790	0.01	NaN
BSU05800	0.01	NaN
BSU05810	0.01	NaN
BSU05820	0.01	NaN
BSU05830	0.32	b1737
BSU05840	0.01	NaN
BSU05850	0.29	b3684
BSU05860	0.01	NaN
BSU05870	0.01	NaN
BSU05880	0.01	NaN
BSU05900	0.37	b0417
BSU05910	0.37	b4168
BSU05920	0.36	b1807
BSU05930	0.32	b4373
BSU05940	0.45	b3064
BSU05950	0.01	NaN
BSU05960	0.51	b0783
BSU05970	0.01	NaN
BSU05980	0.33	b3836
BSU05990	0.31	b3839
BSU06000	0.01	NaN
BSU06010	0.01	NaN
BSU06020	0.46	b4142
BSU06030	0.62	b4143
BSU06040	0.01	NaN
BSU06048	0.01	NaN
BSU06060	0.01	NaN
BSU06070	0.01	NaN
BSU06090	0.01	NaN
BSU06100	0.29	b4346
BSU06110	0.01	NaN
BSU06120	0.01	NaN
BSU06130	0.01	NaN
BSU06140	0.25	b3163
BSU06150	0.41	b1774
BSU06160	0.01	NaN
BSU06170	0.01	NaN
BSU06180	0.29	b1304
BSU06190	0.01	NaN
BSU06200	0.01	NaN
BSU06210	0.27	b2110
BSU06220	0.01	NaN
BSU06230	0.01	NaN
BSU06240	0.01	NaN
BSU06250	0.01	NaN
BSU06260	0.01	NaN
BSU06269	0.01	NaN
BSU06270	0.01	NaN
BSU06280	0.21	b1009
BSU06290	0.01	NaN
BSU06300	0.25	b0123
BSU06310	0.49	b2663
BSU06319	0.01	NaN
BSU06320	0.01	NaN
BSU06330	0.01	NaN
BSU06340	0.01	NaN
BSU06350	0.30	b0382
BSU06360	0.52	b2507
BSU06370	0.01	NaN
BSU06380	0.01	NaN
BSU06390	0.01	NaN
BSU06400	0.01	NaN
BSU06410	0.01	NaN
BSU06420	0.63	b0523
BSU06430	0.31	b0522
BSU06440	0.28	b1131
BSU06450	0.43	b2476
BSU06460	0.01	NaN
BSU06470	0.01	NaN
BSU06480	0.25	b2557
BSU06490	0.41	b2312
BSU06500	0.52	b2499
BSU06510	0.31	b2500
BSU06520	0.52	b4006
BSU06530	0.53	b4005
BSU06540	0.01	NaN
BSU06550	0.27	b4141
BSU06559	0.01	NaN
BSU06560	0.01	NaN
BSU06570	0.01	NaN
BSU06580	0.01	NaN
BSU06590	0.01	NaN
BSU06600	0.01	NaN
BSU06610	0.41	b3813
BSU06620	0.50	b2411
BSU06630	0.01	NaN
BSU06640	0.23	b3859
BSU06650	0.28	b3508
BSU06660	0.01	NaN
BSU06670	0.01	NaN
BSU06680	0.32	b3804
BSU06690	0.28	b1287
BSU06700	0.01	NaN
BSU06710	0.25	b2076
BSU06720	0.34	b2086
BSU06730	0.32	b2785
BSU06740	0.01	NaN
BSU06750	0.29	b1545
BSU06760	0.01	NaN
BSU06770	0.01	NaN
BSU06780	0.01	NaN
BSU06790	0.01	NaN
BSU06800	0.01	NaN
BSU06811	0.01	NaN
BSU06812	0.29	b0805
BSU06820	0.01	NaN
BSU06830	0.01	NaN
BSU06839	0.01	NaN
BSU06840	0.60	b1983
BSU06850	0.01	NaN
BSU06860	0.26	b1111
BSU06870	0.48	b2501
BSU06880	0.23	b4211
BSU06890	0.01	NaN
BSU06900	0.01	NaN
BSU06910	0.01	NaN
BSU06920	0.01	NaN
BSU06930	0.34	b2744
BSU06940	0.01	NaN
BSU06950	0.01	NaN
BSU06960	0.01	NaN
BSU06970	0.01	NaN
BSU06980	0.01	NaN
BSU06990	0.01	NaN
BSU07000	0.01	NaN
BSU07010	0.01	NaN
BSU07020	0.01	NaN
BSU07030	0.01	NaN
BSU07040	0.41	b1476
BSU07050	0.33	b2072
BSU07060	0.01	NaN
BSU07070	0.01	NaN
BSU07080	0.01	NaN
BSU07090	0.01	NaN
BSU07100	0.01	NaN
BSU07110	0.01	NaN
BSU07120	0.01	NaN
BSU07130	0.01	NaN
BSU07140	0.01	NaN
BSU07150	0.01	NaN
BSU07160	0.01	NaN
BSU07190	0.01	NaN
BSU07200	0.35	b0786
BSU07210	0.01	NaN
BSU07220	0.01	NaN
BSU07230	0.01	NaN
BSU07240	0.01	NaN
BSU07250	0.01	NaN
BSU07260	0.01	NaN
BSU07270	0.01	NaN
BSU07280	0.01	NaN
BSU07290	0.01	NaN
BSU07300	0.01	NaN
BSU07310	0.01	NaN
BSU07320	0.44	b0479
BSU07330	0.28	b4374
BSU07340	0.27	b1296
BSU07350	0.01	NaN
BSU07360	0.01	NaN
BSU07370	0.35	b0949
BSU07380	0.01	NaN
BSU07390	0.01	NaN
BSU07400	0.01	NaN
BSU07410	0.01	NaN
BSU07420	0.01	NaN
BSU07430	0.01	NaN
BSU07440	0.01	NaN
BSU07450	0.48	b1449
BSU07460	0.01	NaN
BSU07480	0.01	NaN
BSU07490	0.01	NaN
BSU07500	0.45	b4288
BSU07510	0.38	b4289
BSU07520	0.38	b4290
BSU07530	0.01	NaN
BSU07540	0.01	NaN
BSU07550	0.01	NaN
BSU07560	0.01	NaN
BSU07570	0.40	b0770
BSU07580	0.01	NaN
BSU07590	0.01	NaN
BSU07600	0.01	NaN
BSU07610	0.01	NaN
BSU07620	0.01	NaN
BSU07630	0.01	NaN
BSU07640	0.43	b0968
BSU07650	0.43	b3910
BSU07660	0.01	NaN
BSU07670	0.01	NaN
BSU07680	0.52	b0583
BSU07690	0.01	NaN
BSU07700	0.01	NaN
BSU07710	0.01	NaN
BSU07720	0.01	NaN
BSU07735	0.31	b3293
BSU07750	0.01	NaN
BSU07760	0.26	b2796
BSU07770	0.01	NaN
BSU07780	0.01	NaN
BSU07790	0.43	b4174
BSU07800	0.42	b4240
BSU07810	0.56	b4239
BSU07820	0.01	NaN
BSU07830	0.30	b0578
BSU07840	0.46	b4213
BSU07850	0.64	b3153
BSU07860	0.35	b1691
BSU07870	0.01	NaN
BSU07880	0.28	b0982
BSU07890	0.01	NaN
BSU07900	0.25	b3886
BSU07910	0.25	b0898
BSU07920	0.25	b1216
BSU07930	0.01	NaN
BSU07940	0.01	NaN
BSU07955	0.01	NaN
BSU07970	0.01	NaN
BSU07980	0.01	NaN
BSU07990	0.01	NaN
BSU08000	0.21	b1342
BSU08010	0.01	NaN
BSU08020	0.01	NaN
BSU08029	0.01	NaN
BSU08030	0.01	NaN
BSU08040	0.01	NaN
BSU08050	0.01	NaN
BSU08060	0.01	NaN
BSU08070	0.01	NaN
BSU08080	0.01	NaN
BSU08090	0.01	NaN
BSU08100	0.45	b2869
BSU08110	0.01	NaN
BSU08120	0.42	b1582
BSU08130	0.01	NaN
BSU08140	0.01	NaN
BSU08150	0.01	NaN
BSU08160	0.01	NaN
BSU08170	0.01	NaN
BSU08180	0.01	NaN
BSU08190	0.01	NaN
BSU08200	0.01	NaN
BSU08210	0.01	NaN
BSU08220	0.01	NaN
BSU08230	0.33	b3101
BSU08240	0.01	NaN
BSU08250	0.23	b3906
BSU08260	0.01	NaN
BSU08270	0.01	NaN
BSU08280	0.01	NaN
BSU08290	0.01	NaN
BSU08300	0.01	NaN
BSU08310	0.36	b0127
BSU08320	0.01	NaN
BSU08330	0.23	b0793
BSU08340	0.28	b3071
BSU08350	0.39	b1585
BSU08360	0.01	NaN
BSU08370	0.01	NaN
BSU08380	0.01	NaN
BSU08390	0.01	NaN
BSU08400	0.01	NaN
BSU08410	0.01	NaN
BSU08425	0.24	b0788
BSU08440	0.01	NaN
BSU08450	0.40	b0590
BSU08460	0.01	NaN
BSU08470	0.36	b1464
BSU08480	0.23	b1765
BSU08490	0.01	NaN
BSU08500	0.01	NaN
BSU08510	0.36	b2304
BSU08520	0.30	b2698
BSU08530	0.01	NaN
BSU08540	0.01	NaN
BSU08550	0.01	NaN
BSU08560	0.01	NaN
BSU08570	0.01	NaN
BSU08580	0.01	NaN
BSU08590	0.01	NaN
BSU08600	0.01	NaN
BSU08610	0.28	b3807
BSU08620	0.01	NaN
BSU08630	0.38	b2961
BSU08640	0.01	NaN
BSU08650	0.01	NaN
BSU08660	0.01	NaN
BSU08670	0.01	NaN
BSU08680	0.30	b3216
BSU08690	0.34	b0914
BSU08700	0.01	NaN
BSU08710	0.01	NaN
BSU08720	0.40	b2480
BSU08730	0.01	NaN
BSU08740	0.01	NaN
BSU08750	0.33	b0389
BSU08760	0.01	NaN
BSU08770	0.01	NaN
BSU08779	0.01	NaN
BSU08780	0.38	b4021
BSU08790	0.67	b3994
BSU08800	0.01	NaN
BSU08810	0.01	NaN
BSU08820	0.01	NaN
BSU08830	0.42	b0366
BSU08840	0.32	b0936
BSU08850	0.49	b0934
BSU08860	0.64	b0935
BSU08870	0.35	b1654
BSU08880	0.48	b3307
BSU08890	0.01	NaN
BSU08899	0.01	NaN
BSU08900	0.01	NaN
BSU08910	0.29	b4166
BSU08920	0.31	b2111
BSU08930	0.45	b3606
BSU08940	0.01	NaN
BSU08950	0.01	NaN
BSU08960	0.01	NaN
BSU08970	0.34	b1783
BSU08980	0.25	b1784
BSU08990	0.29	b1530
BSU09000	0.35	b2368
BSU09010	0.28	b2686
BSU09020	0.32	b1004
BSU09030	0.01	NaN
BSU09040	0.01	NaN
BSU09050	0.01	NaN
BSU09060	0.01	NaN
BSU09070	0.01	NaN
BSU09080	0.01	NaN
BSU09090	0.01	NaN
BSU09100	0.67	b1823
BSU09110	0.01	NaN
BSU09120	0.36	b1956
BSU09130	0.51	b1729
BSU09140	0.01	NaN
BSU09150	0.42	b1810
BSU09165	0.01	NaN
BSU09180	0.01	NaN
BSU09190	0.01	NaN
BSU09200	0.01	NaN
BSU09210	0.01	NaN
BSU09220	0.01	NaN
BSU09230	0.26	b2708
BSU09240	0.30	b1727
BSU09250	0.01	NaN
BSU09260	0.01	NaN
BSU09270	0.28	b2768
BSU09280	0.37	b3927
BSU09290	0.62	b3926
BSU09300	0.31	b3426
BSU09310	0.26	b0688
BSU09320	0.01	NaN
BSU09330	0.38	b1221
BSU09340	0.29	b3713
BSU09350	0.01	NaN
BSU09360	0.01	NaN
BSU09370	0.01	NaN
BSU09380	0.42	b4178
BSU09390	0.01	NaN
BSU09400	0.30	b1188
BSU09410	0.32	b0383
BSU09420	0.01	NaN
BSU09430	0.27	b1422
BSU09440	0.01	NaN
BSU09450	0.01	NaN
BSU09460	0.01	NaN
BSU09470	0.01	NaN
BSU09480	0.01	NaN
BSU09490	0.01	NaN
BSU09500	0.01	NaN
BSU09510	0.32	b2165
BSU09520	0.01	NaN
BSU09530	0.01	NaN
BSU09540	0.01	NaN
BSU09550	0.01	NaN
BSU09560	0.01	NaN
BSU09570	0.01	NaN
BSU09590	0.27	b4461
BSU09600	0.36	b0624
BSU09610	0.01	NaN
BSU09620	0.31	b3449
BSU09630	0.01	NaN
BSU09640	0.34	b1330
BSU09650	0.34	b1120
BSU09660	0.01	NaN
BSU09670	0.01	NaN
BSU09680	0.01	NaN
BSU09690	0.01	NaN
BSU09700	0.01	NaN
BSU09710	0.41	b0448
BSU09720	0.39	b0449
BSU09730	0.01	NaN
BSU09740	0.01	NaN
BSU09750	0.01	NaN
BSU09760	0.27	b3421
BSU09770	0.01	NaN
BSU09780	0.36	b2947
BSU09790	0.01	NaN
BSU09800	0.01	NaN
BSU09810	0.01	NaN
BSU09830	0.01	NaN
BSU09840	0.01	NaN
BSU09850	0.27	b0478
BSU09860	0.01	NaN
BSU09870	0.01	NaN
BSU09880	0.01	NaN
BSU09889	0.01	NaN
