Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
BSU35110-MONOMER	Inner_Membrane	BSU35110(1)	Inner_Membrane	s
BSU14910-MONOMER	Inner_Membrane	BSU14910(1)	Inner_Membrane	s
BSU03530-MONOMER	Inner_Membrane	BSU03530(1)	Inner_Membrane	s
BSU30050-MONOMER	Inner_Membrane	BSU30050(1)	Inner_Membrane	s
BSU25569-MONOMER	Inner_Membrane	BSU25569(1)	Inner_Membrane	s
BSU24410-MONOMER	Inner_Membrane	BSU24410(1)	Inner_Membrane	s
BSU25030-MONOMER	Inner_Membrane	BSU25030(1)	Inner_Membrane	s
BSU38900-MONOMER	Inner_Membrane	BSU38900(1)	Inner_Membrane	s
BSU24670-MONOMER	Inner_Membrane	BSU24670(1)	Inner_Membrane	s
BSU05430-MONOMER	Inner_Membrane	BSU05430(1)	Inner_Membrane	s
BSU28180-MONOMER	Inner_Membrane	BSU28180(1)	Inner_Membrane	s
BSU41040-MONOMER	Inner_Membrane	BSU41040(1)	Inner_Membrane	s
BSU09950-MONOMER	Inner_Membrane	BSU09950(1)	Inner_Membrane	s
BSU25010-MONOMER	Inner_Membrane	BSU25010(1)	Inner_Membrane	s
BSU04480-MONOMER	Inner_Membrane	BSU04480(1)	Inner_Membrane	s
BSU11600-MONOMER	Inner_Membrane	BSU11600(1)	Inner_Membrane	s
BSU09030-MONOMER	Inner_Membrane	BSU09030(1)	Inner_Membrane	s
BSU05590-MONOMER	Inner_Membrane	BSU05590(1)	Inner_Membrane	s
BSU08580-MONOMER	Inner_Membrane	BSU08580(1)	Inner_Membrane	s
BSU24700-MONOMER	Inner_Membrane	BSU24700(1)	Inner_Membrane	s
BSU03920-MONOMER	Inner_Membrane	BSU03920(1)	Inner_Membrane	s
BSU18120-MONOMER	Inner_Membrane	BSU18120(1)	Inner_Membrane	s
BSU04120-MONOMER	Inner_Membrane	BSU04120(1)	Inner_Membrane	s
CPLX8J2-37	Inner_Membrane	BSU09720(1)	Inner_Membrane	s
CPLX8J2-37	Inner_Membrane	BSU09710(1)	Inner_Membrane	s
BSU34520-MONOMER	Outer_Membrane	BSU34520(1)	Outer_Membrane	s
BSU36940-MONOMER	Inner_Membrane	BSU36940(1)	Inner_Membrane	s
BSU07380-MONOMER	Inner_Membrane	BSU07380(1)	Inner_Membrane	s
BSU33310-MONOMER	Inner_Membrane	BSU33310(1)	Inner_Membrane	s
BSU03370-MONOMER	Inner_Membrane	BSU03370(1)	Inner_Membrane	s
BSU35900-MONOMER	Inner_Membrane	BSU35900(1)	Inner_Membrane	s
BSU18270-MONOMER	Inner_Membrane	BSU18270(1)	Inner_Membrane	s
BSU27090-MONOMER	Inner_Membrane	BSU27090(1)	Inner_Membrane	s
BSU06930-MONOMER	Inner_Membrane	BSU06930(1)	Inner_Membrane	s
BSU15480-MONOMER	Inner_Membrane	BSU15480(1)	Inner_Membrane	s
BSU11300-MONOMER	Inner_Membrane	BSU11300(1)	Inner_Membrane	s
BSU08460-MONOMER	Inner_Membrane	BSU08460(1)	Inner_Membrane	s
BSU23000-MONOMER	Inner_Membrane	BSU23000(1)	Inner_Membrane	s
BSU04630-MONOMER	Inner_Membrane	BSU04630(1)	Inner_Membrane	s
BSU36090-MONOMER	Inner_Membrane	BSU36090(1)	Inner_Membrane	s
BSU22090-MONOMER	Inner_Membrane	BSU22090(1)	Inner_Membrane	s
BSU38280-MONOMER	Inner_Membrane	BSU38280(1)	Inner_Membrane	s
BSU34460-MONOMER	Inner_Membrane	BSU34460(1)	Inner_Membrane	s
BSU36680-MONOMER	Inner_Membrane	BSU36680(1)	Inner_Membrane	s
BSU02350-MONOMER	Inner_Membrane	BSU02350(2)	Inner_Membrane	s
BSU35530-MONOMER	Inner_Membrane	BSU35530(1)	Inner_Membrane	s
BSU33720-MONOMER	Inner_Membrane	BSU33720(1)	Inner_Membrane	s
BSU02060-MONOMER	Inner_Membrane	BSU02060(1)	Inner_Membrane	s
BSU07260-MONOMER	Inner_Membrane	BSU07260(1)	Inner_Membrane	s
BSU30930-MONOMER	Inner_Membrane	BSU30930(1)	Inner_Membrane	s
BSU40259-MONOMER	Inner_Membrane	BSU40259(1)	Inner_Membrane	s
BSU36570-MONOMER	Inner_Membrane	BSU36570(1)	Inner_Membrane	s
BSU05408-MONOMER	Inner_Membrane	BSU05408(1)	Inner_Membrane	s
BSU06220-MONOMER	Inner_Membrane	BSU06220(1)	Inner_Membrane	s
BSU35970-MONOMER	Outer_Membrane	BSU35970(1)	Outer_Membrane	s
BSU28710-MONOMER	Inner_Membrane	BSU28710(1)	Inner_Membrane	s
BSU05680-MONOMER	Inner_Membrane	BSU05680(1)	Inner_Membrane	s
BSU12890-MONOMER	Inner_Membrane	BSU12890(1)	Inner_Membrane	s
BSU03540-MONOMER	Inner_Membrane	BSU03540(1)	Inner_Membrane	s
BSU02630-MONOMER	Inner_Membrane	BSU02630(1)	Inner_Membrane	s
BSU36880-MONOMER	Inner_Membrane	BSU36880(1)	Inner_Membrane	s
BSU19210-MONOMER	Inner_Membrane	BSU19210(1)	Inner_Membrane	s
BSU01550-MONOMER	Inner_Membrane	BSU01550(1)	Inner_Membrane	s
BSU04580-MONOMER	Inner_Membrane	BSU04580(1)	Inner_Membrane	s
BSU27080-MONOMER	Inner_Membrane	BSU27080(1)	Inner_Membrane	s
BSU39410-MONOMER	Inner_Membrane	BSU39410(1)	Inner_Membrane	s
BSU00570-MONOMER	Inner_Membrane	BSU00570(1)	Inner_Membrane	s
BSU40510-MONOMER	Inner_Membrane	BSU40510(1)	Inner_Membrane	s
BSU16540-MONOMER	Inner_Membrane	BSU16540(1)	Inner_Membrane	s
BSU17699-MONOMER	Inner_Membrane	BSU17699(1)	Inner_Membrane	s
BSU02870-MONOMER	Inner_Membrane	BSU02870(1)	Inner_Membrane	s
BSU08620-MONOMER	Inner_Membrane	BSU08620(1)	Inner_Membrane	s
BSU00690-MONOMER	Inner_Membrane	BSU00690(1)	Inner_Membrane	s
BSU08230-MONOMER	Inner_Membrane	BSU08230(1)	Inner_Membrane	s
BSU15210-MONOMER	Inner_Membrane	BSU15210(1)	Inner_Membrane	s
BSU02960-MONOMER	Inner_Membrane	BSU02960(1)	Inner_Membrane	s
BSU09600-MONOMER	Inner_Membrane	BSU09600(1)	Inner_Membrane	s
BSU09320-MONOMER	Inner_Membrane	BSU09320(1)	Inner_Membrane	s
BSU38480-MONOMER	Inner_Membrane	BSU38480(1)	Inner_Membrane	s
BSU08425-MONOMER	Inner_Membrane	BSU08425(1)	Inner_Membrane	s
BSU37510-MONOMER	Inner_Membrane	BSU37510(2)	Inner_Membrane	s
BSU03810-MONOMER	Inner_Membrane	BSU03810(1)	Inner_Membrane	s
BSU05200-MONOMER	Inner_Membrane	BSU05200(1)	Inner_Membrane	s
BSU04920-MONOMER	Inner_Membrane	BSU04920(1)	Inner_Membrane	s
BSU08779-MONOMER	Outer_Membrane	BSU08779(1)	Outer_Membrane	s
BSU38800-MONOMER	Inner_Membrane	BSU38800(1)	Inner_Membrane	s
BSU19440-MONOMER	Inner_Membrane	BSU19440(1)	Inner_Membrane	s
CPLX-8225	Outer_Membrane	BSU33240(1)	Outer_Membrane	s
BSU02240-MONOMER	Outer_Membrane	BSU02240(1)	Outer_Membrane	s
BSU24820-MONOMER	Inner_Membrane	BSU24820(1)	Inner_Membrane	s
BSU03040-MONOMER	Inner_Membrane	BSU03040(1)	Inner_Membrane	s
BSU08380-MONOMER	Inner_Membrane	BSU08380(1)	Inner_Membrane	s
BSU11370-MONOMER	Inner_Membrane	BSU11370(1)	Inner_Membrane	s
BSU14050-MONOMER	Outer_Membrane	BSU14050(1)	Outer_Membrane	t
BSU25740-MONOMER	Inner_Membrane	BSU25740(1)	Inner_Membrane	s
BSU19180-MONOMER	Inner_Membrane	BSU19180(1)	Inner_Membrane	s
BSU38710-MONOMER	Inner_Membrane	BSU38710(1)	Inner_Membrane	s
BSU24840-MONOMER	Inner_Membrane	BSU24840(1)	Inner_Membrane	s
BSU18770-MONOMER	Inner_Membrane	BSU18770(1)	Inner_Membrane	s
BSU03360-MONOMER	Inner_Membrane	BSU03360(1)	Inner_Membrane	s
BSU13210-MONOMER	Inner_Membrane	BSU13210(1)	Inner_Membrane	s
BSU30900-MONOMER	Outer_Membrane	BSU30900(1)	Outer_Membrane	s
BSU11450-MONOMER	Inner_Membrane	BSU11450(1)	Inner_Membrane	s
BSU11640-MONOMER	Inner_Membrane	BSU11640(1)	Inner_Membrane	s
BSU14880-MONOMER	Inner_Membrane	BSU14880(1)	Inner_Membrane	s
BSU34800-MONOMER	Outer_Membrane	BSU34800(1)	Outer_Membrane	s
BSU21460-MONOMER	Outer_Membrane	BSU21460(1)	Outer_Membrane	s
BSU09090-MONOMER	Inner_Membrane	BSU09090(1)	Inner_Membrane	s
BSU05310-MONOMER	Inner_Membrane	BSU05310(1)	Inner_Membrane	s
BSU27310-MONOMER	Inner_Membrane	BSU27310(1)	Inner_Membrane	s
BSU34150-MONOMER	Inner_Membrane	BSU34150(1)	Inner_Membrane	s
BSU04860-MONOMER	Inner_Membrane	BSU04860(1)	Inner_Membrane	s
BSU06200-MONOMER	Inner_Membrane	BSU06200(1)	Inner_Membrane	s
BSU24620-MONOMER	Inner_Membrane	BSU24620(1)	Inner_Membrane	s
BSU35960-MONOMER	Inner_Membrane	BSU35960(1)	Inner_Membrane	s
BSU31490-MONOMER	Inner_Membrane	BSU31490(1)	Inner_Membrane	s
BSU25290-MONOMER	Inner_Membrane	BSU25290(1)	Inner_Membrane	s
BSU17290-MONOMER	Inner_Membrane	BSU17290(1)	Inner_Membrane	s
BSU09958-MONOMER	Inner_Membrane	BSU09958(1)	Inner_Membrane	s
BSU01740-MONOMER	Inner_Membrane	BSU01740(1)	Inner_Membrane	s
BSU12960-MONOMER	Inner_Membrane	BSU12960(1)	Inner_Membrane	s
BSU35820-MONOMER	Inner_Membrane	BSU35820(1)	Inner_Membrane	s
BSU40022-MONOMER	Inner_Membrane	BSU40022(1)	Inner_Membrane	s
CPLX8J2-43	Inner_Membrane	BSU38140(1)	Inner_Membrane	s
CPLX8J2-43	Inner_Membrane	BSU38150(1)	Inner_Membrane	s
CPLX8J2-43	Inner_Membrane	BSU38160(1)	Inner_Membrane	s
CPLX8J2-43	Inner_Membrane	BSU38170(1)	Inner_Membrane	s
BSU33830-MONOMER	Inner_Membrane	BSU33830(1)	Inner_Membrane	s
BSU07360-MONOMER	Inner_Membrane	BSU07360(1)	Inner_Membrane	s
BSU02200-MONOMER	Inner_Membrane	BSU02200(1)	Inner_Membrane	s
BSU32060-MONOMER	Inner_Membrane	BSU32060(1)	Inner_Membrane	s
BSU38690-MONOMER	Inner_Membrane	BSU38690(1)	Inner_Membrane	s
BSU13890-MONOMER	Inner_Membrane	BSU13890(1)	Inner_Membrane	s
BSU14930-MONOMER	Inner_Membrane	BSU14930(1)	Inner_Membrane	s
BSU01900-MONOMER	Inner_Membrane	BSU01900(1)	Inner_Membrane	s
BSU14350-MONOMER	Inner_Membrane	BSU14350(1)	Inner_Membrane	s
BSU36590-MONOMER	Inner_Membrane	BSU36590(1)	Inner_Membrane	s
BSU20920-MONOMER	Inner_Membrane	BSU20920(1)	Inner_Membrane	s
BSU37350-MONOMER	Inner_Membrane	BSU37350(1)	Inner_Membrane	s
BSU27810-MONOMER	Inner_Membrane	BSU27810(1)	Inner_Membrane	s
BSU09470-MONOMER	Inner_Membrane	BSU09470(1)	Inner_Membrane	s
BSU39230-MONOMER	Outer_Membrane	BSU39230(1)	Outer_Membrane	s
BSU13260-MONOMER	Inner_Membrane	BSU13260(1)	Inner_Membrane	s
BSU30430-MONOMER	Inner_Membrane	BSU30430(1)	Inner_Membrane	s
BSU01000-MONOMER	Inner_Membrane	BSU01000(1)	Inner_Membrane	s
BSU21480-MONOMER	Inner_Membrane	BSU21480(1)	Inner_Membrane	s
BSU24980-MONOMER	Inner_Membrane	BSU24980(1)	Inner_Membrane	s
BSU12880-MONOMER	Inner_Membrane	BSU12880(1)	Inner_Membrane	s
BSU05530-MONOMER	Inner_Membrane	BSU05530(1)	Inner_Membrane	s
BSU04910-MONOMER	Inner_Membrane	BSU04910(1)	Inner_Membrane	s
BSU06990-MONOMER	Inner_Membrane	BSU06990(1)	Inner_Membrane	s
BSU33800-MONOMER	Inner_Membrane	BSU33800(1)	Inner_Membrane	s
BSU18410-MONOMER	Inner_Membrane	BSU18410(1)	Inner_Membrane	s
BSU03710-MONOMER	Inner_Membrane	BSU03710(1)	Inner_Membrane	s
BSU19400-MONOMER	Inner_Membrane	BSU19400(1)	Inner_Membrane	s
BSU33900-MONOMER	Inner_Membrane	BSU33900(1)	Inner_Membrane	s
BSU02400-MONOMER	Inner_Membrane	BSU02400(1)	Inner_Membrane	s
BSU28750-MONOMER	Inner_Membrane	BSU28750(1)	Inner_Membrane	s
BSU08600-MONOMER	Inner_Membrane	BSU08600(1)	Inner_Membrane	s
BSU27130-MONOMER	Inner_Membrane	BSU27130(1)	Inner_Membrane	s
BSU28910-MONOMER	Inner_Membrane	BSU28910(1)	Inner_Membrane	s
BSU38150-MONOMER	Inner_Membrane	BSU38150(1)	Inner_Membrane	s
BSU22520-MONOMER	Inner_Membrane	BSU22520(1)	Inner_Membrane	s
BSU37300-MONOMER	Inner_Membrane	BSU37300(1)	Inner_Membrane	s
BSU16300-MONOMER	Inner_Membrane	BSU16300(1)	Inner_Membrane	s
BSU13690-MONOMER	Inner_Membrane	BSU13690(1)	Inner_Membrane	s
BSU36520-MONOMER	Inner_Membrane	BSU36520(1)	Inner_Membrane	s
BSU09660-MONOMER	Inner_Membrane	BSU09660(1)	Inner_Membrane	s
BSU07400-MONOMER	Inner_Membrane	BSU07400(1)	Inner_Membrane	s
BSU06820-MONOMER	Inner_Membrane	BSU06820(1)	Inner_Membrane	s
CPLX8J2-2	Inner_Membrane	BSU37250(1)	Inner_Membrane	s
CPLX8J2-2	Inner_Membrane	BSU37270(1)	Inner_Membrane	s
CPLX8J2-2	Inner_Membrane	BSU37280(1)	Inner_Membrane	s
BSU38640-MONOMER	Inner_Membrane	BSU38640(1)	Inner_Membrane	s
BSU26590-MONOMER	Inner_Membrane	BSU26590(1)	Inner_Membrane	s
BSU11055-MONOMER	Inner_Membrane	BSU11055(1)	Inner_Membrane	s
BSU09680-MONOMER	Inner_Membrane	BSU09680(1)	Inner_Membrane	s
BSU09720-MONOMER	Inner_Membrane	BSU09720(1)	Inner_Membrane	s
BSU07840-MONOMER	Outer_Membrane	BSU07840(1)	Outer_Membrane	s
BSU38180-MONOMER	Inner_Membrane	BSU38180(1)	Inner_Membrane	s
BSU21750-MONOMER	Inner_Membrane	BSU21750(1)	Inner_Membrane	s
BSU21340-MONOMER	Inner_Membrane	BSU21340(1)	Inner_Membrane	s
BSU31322-MONOMER	Inner_Membrane	BSU31322(4)	Inner_Membrane	s
BSU22540-MONOMER	Inner_Membrane	BSU22540(1)	Inner_Membrane	s
BSU31130-MONOMER	Inner_Membrane	BSU31130(1)	Inner_Membrane	s
BSU06370-MONOMER	Inner_Membrane	BSU06370(1)	Inner_Membrane	s
BSU30440-MONOMER	Inner_Membrane	BSU30440(1)	Inner_Membrane	s
BSU16380-MONOMER	Inner_Membrane	BSU16380(1)	Inner_Membrane	s
BSU12830-MONOMER	Inner_Membrane	BSU12830(1)	Inner_Membrane	s
BSU16320-MONOMER	Inner_Membrane	BSU16320(1)	Inner_Membrane	s
BSU38730-MONOMER	Inner_Membrane	BSU38730(1)	Inner_Membrane	s
BSU01560-MONOMER	Inner_Membrane	BSU01560(1)	Inner_Membrane	s
BSU26650-MONOMER	Inner_Membrane	BSU26650(1)	Inner_Membrane	s
CPLX8J2-73	Inner_Membrane	BSU11360(1)	Inner_Membrane	s
CPLX8J2-73	Inner_Membrane	BSU11370(1)	Inner_Membrane	s
CPLX8J2-73	Inner_Membrane	BSU11390(1)	Inner_Membrane	s
CPLX8J2-73	Inner_Membrane	BSU11400(1)	Inner_Membrane	s
BSU00010-MONOMER	Inner_Membrane	BSU00010(1)	Inner_Membrane	s
BSU35360-MONOMER	Outer_Membrane	BSU35360(1)	Outer_Membrane	s
BSU33240-MONOMER	Outer_Membrane	BSU33240(1)	Outer_Membrane	s
BSU08830-MONOMER	Inner_Membrane	BSU08830(1)	Inner_Membrane	s
BSU04270-MONOMER	Inner_Membrane	BSU04270(1)	Inner_Membrane	s
BSU24710-MONOMER	Inner_Membrane	BSU24710(1)	Inner_Membrane	s
BSU05280-MONOMER	Inner_Membrane	BSU05280(1)	Inner_Membrane	s
BSU25420-MONOMER	Inner_Membrane	BSU25420(1)	Inner_Membrane	s
BSU13980-MONOMER	Inner_Membrane	BSU13980(1)	Inner_Membrane	s
BSU30090-MONOMER	Inner_Membrane	BSU30090(1)	Inner_Membrane	s
BSU14700-MONOMER	Inner_Membrane	BSU14700(1)	Inner_Membrane	s
CPLX8J2-169	Inner_Membrane	BSU13210(1)	Inner_Membrane	s
CPLX8J2-169	Inner_Membrane	BSU13220(1)	Inner_Membrane	s
CPLX8J2-169	Inner_Membrane	BSU13230(1)	Inner_Membrane	s
CPLX8J2-165	Inner_Membrane	BSU31100(1)	Inner_Membrane	s
CPLX8J2-165	Inner_Membrane	BSU31090(1)	Inner_Membrane	s
CPLX8J2-166	Inner_Membrane	BSU31090(1)	Inner_Membrane	s
CPLX8J2-161	Inner_Membrane	BSU35700(1)	Inner_Membrane	s
CPLX8J2-161	Inner_Membrane	BSU35710(1)	Inner_Membrane	s
BSU02850-MONOMER	Inner_Membrane	BSU02850(1)	Inner_Membrane	s
BSU03940-MONOMER	Inner_Membrane	BSU03940(1)	Inner_Membrane	s
BSU38850-MONOMER	Inner_Membrane	BSU38850(1)	Inner_Membrane	s
BSU37230-MONOMER	Inner_Membrane	BSU37230(1)	Inner_Membrane	s
BSU39790-MONOMER	Inner_Membrane	BSU39790(1)	Inner_Membrane	s
BSU18750-MONOMER	Inner_Membrane	BSU18750(1)	Inner_Membrane	s
BSU36510-MONOMER	Inner_Membrane	BSU36510(1)	Inner_Membrane	s
BSU24680-MONOMER	Inner_Membrane	BSU24680(1)	Inner_Membrane	s
BSU30070-MONOMER	Inner_Membrane	BSU30070(1)	Inner_Membrane	s
BSU03580-MONOMER	Inner_Membrane	BSU03580(1)	Inner_Membrane	s
BSU09890-MONOMER	Inner_Membrane	BSU09890(1)	Inner_Membrane	s
BSU30770-MONOMER	Inner_Membrane	BSU30770(1)	Inner_Membrane	s
BSU14850-MONOMER	Inner_Membrane	BSU14850(1)	Inner_Membrane	s
BSU11470-MONOMER	Inner_Membrane	BSU11470(1)	Inner_Membrane	s
BSU30720-MONOMER	Inner_Membrane	BSU30720(1)	Inner_Membrane	s
BSU30000-MONOMER	Inner_Membrane	BSU30000(1)	Inner_Membrane	s
BSU36980-MONOMER	Inner_Membrane	BSU36980(1)	Inner_Membrane	s
BSU21840-MONOMER	Inner_Membrane	BSU21840(1)	Inner_Membrane	s
BSU14569-MONOMER	Inner_Membrane	BSU14569(1)	Inner_Membrane	s
BSU11809-MONOMER	Inner_Membrane	BSU11809(1)	Inner_Membrane	s
BSU35860-MONOMER	Outer_Membrane	BSU35860(1)	Outer_Membrane	s
BSU27830-MONOMER	Outer_Membrane	BSU27830(1)	Outer_Membrane	s
BSU16340-MONOMER	Inner_Membrane	BSU16340(1)	Inner_Membrane	s
BSU33250-MONOMER	Inner_Membrane	BSU33250(1)	Inner_Membrane	s
BSU03670-MONOMER	Inner_Membrane	BSU03670(1)	Inner_Membrane	s
BSU33880-MONOMER	Inner_Membrane	BSU33880(1)	Inner_Membrane	s
BSU01960-MONOMER	Inner_Membrane	BSU01960(1)	Inner_Membrane	s
