SOURCE,TARGET
pdhB,cysJ
pdhB,acdA
pdhB,rocD
pdhD,sigH
pdhD,glmS
pdhD,metI
pdhD,pdhA
pdhD,pdhB
pdhD,pdhC
pdhD,pdhD
pdhD,cysH
pdhD,sat
pdhD,asd
pdhD,dapG
pdhD,thyA
pdhD,odhB
pdhD,odhA
pdhD,ilvD
pdhD,metAA
pdhD,sigKn
pdhD,sigKc
pdhD,mccB
pdhD,mccA
pdhD,ilvC
pdhD,citZ
pdhD,hom
pdhD,fadE
pdhD,fumC
pdhD,yvrB
pdhD,cysI
pdhD,cysJ
pdhD,alsS
pdhD,acdA
pdhA,sigH
pdhA,samT
pdhA,metI
pdhA,proCC
pdhA,metE
pdhA,pdhA
pdhA,pdhB
pdhA,pdhC
pdhA,cysH
pdhA,sat
pdhA,asd
pdhA,dapG
pdhA,thyA
pdhA,metAA
pdhA,sigKn
pdhA,sigKc
pdhA,citZ
pdhA,hom
pdhA,fadE
pdhA,fumC
pdhA,yvrB
pdhA,cysI
pdhA,cysJ
pdhA,acdA
pdhA,rocD
ilvD,ilvD
ilvD,mccB
ilvD,mccA
ilvD,ilvC
ilvD,alsS
sigH,sigH
rbsK,rpe
rbsK,tktA
rbsK,rbsK
rbsK,rpiB
rbsK,tal
ilvC,ilvD
ilvC,mccB
ilvC,mccA
ilvC,ilvC
ilvC,alsS
proCC,proCC
rocD,proCC
rocD,rocD
sigKc,samT
sigKc,metI
sigKc,metE
sigKc,cysH
sigKc,sat
sigKc,asd
sigKc,dapG
sigKc,metAA
sigKc,sigKn
sigKc,sigKc
sigKc,hom
sigKc,yvrB
sigKc,cysI
sigKc,cysJ
sigKn,samT
sigKn,metI
sigKn,metE
sigKn,cysH
sigKn,sat
sigKn,asd
sigKn,dapG
sigKn,metAA
sigKn,sigKn
sigKn,sigKc
sigKn,hom
sigKn,yvrB
sigKn,cysI
sigKn,cysJ
pgi,pgi
gudB,gudB
tktA,yfkN
tktA,rpe
tktA,tktA
tktA,deoD
tktA,rpiB
tktA,tal
sigD,sigD
cysJ,samT
cysJ,metI
cysJ,metE
cysJ,cysH
cysJ,sat
cysJ,asd
cysJ,dapG
cysJ,metAA
cysJ,sigKn
cysJ,sigKc
cysJ,hom
cysJ,yvrB
cysJ,cysI
cysJ,cysJ
cysI,samT
cysI,metI
cysI,metE
cysI,cysH
cysI,sat
cysI,asd
cysI,dapG
cysI,metAA
cysI,sigKn
cysI,sigKc
cysI,hom
cysI,yvrB
cysI,cysI
cysI,cysJ
pckA,sigH
pckA,samT
pckA,metI
pckA,proCC
pckA,metE
pckA,cysH
pckA,sat
pckA,asd
pckA,dapG
pckA,thyA
pckA,odhB
pckA,odhA
pckA,metAA
pckA,sigKn
pckA,sigKc
pckA,citZ
pckA,pckA
pckA,hom
pckA,fadE
pckA,fumC
pckA,yvrB
pckA,cysI
pckA,cysJ
pckA,pgm
pckA,pgk
pckA,gapA
pckA,acdA
pckA,rocD
citB,sigH
citB,samT
citB,metI
citB,metE
citB,cysH
citB,sat
citB,asd
citB,dapG
citB,citB
citB,odhB
citB,odhA
citB,metAA
citB,gudB
citB,sigKn
citB,sigKc
citB,citZ
citB,hom
citB,fadE
citB,yvrB
citB,cysI
citB,cysJ
citB,acdA
mdh,samT
mdh,metE
mdh,mdh
mdh,yvrB
citZ,citZ
icd,samT
icd,metI
icd,metE
icd,cysH
icd,sat
icd,asd
icd,dapG
icd,odhB
icd,odhA
icd,metAA
icd,gudB
icd,sigKn
icd,sigKc
icd,icd
icd,citZ
icd,hom
icd,fadE
icd,yvrB
icd,cysI
icd,cysJ
icd,acdA
fabHA,fabHA
acdA,acdA
odhA,sigH
odhA,samT
odhA,metI
odhA,metE
odhA,cysH
odhA,sat
odhA,asd
odhA,dapG
odhA,odhB
odhA,odhA
odhA,metAA
odhA,sigKn
odhA,sigKc
odhA,hom
odhA,fadE
odhA,fumC
odhA,yvrB
odhA,cysI
odhA,cysJ
odhA,acdA
odhB,sigH
odhB,samT
odhB,metI
odhB,metE
odhB,cysH
odhB,sat
odhB,asd
odhB,dapG
odhB,odhB
odhB,odhA
odhB,metAA
odhB,sigKn
odhB,sigKc
odhB,hom
odhB,fadE
odhB,fumC
odhB,yvrB
odhB,cysI
odhB,cysJ
odhB,acdA
