,leu__L_e,lys__L_e,met__L_e,phe__L_e,crn_e,btd_RR_e,4abut_e,gly_e,ile__L_e,val__L_e,for_e,ac_e,acac_e,arab__L_e,acgam_e,glcr_e,succ_e,gal_e,asp__L_e,pro__L_e,ala__D_e,tre_e,man_e,galt_e,ser__D_e,sbt__D_e,glyc_e,glcur_e,glcn__D_e,glyc3p_e,xyl__D_e,lac__L_e,mnl_e,glu__L_e,g6p_e,mal__L_e,rib__D_e,rmn_e,fru_e,glc__D_e,malt_e,melib_e,thymd_e,asn__L_e,akg_e,sucr_e,uri_e,gln__L_e,g1p_e,f6p_e,mbdg_e,malttr_e,dad_2_e,adn_e,cit_e,fum_e,ppa_e,galctr__D_e,glyclt_e,glx_e,cellb_e,ins_e,ser__L_e,thr__L_e,ala__L_e,acmana_e,mal__D_e,pyr_e,galur_e,dextrin_e,glycogen_e,acnam_e,arab__D_e,abt__L_e,arbt_e,drib_e,pala_e,raffin_e,salcn_e,srb__L_e,gam_e,orn__L_e,dha_e,gly_asp__L_e,gly_glu__L_e,gly_pro__L_e
3AMPt6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3CMPt6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3GMPt6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3NUCLE1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3NUCLE2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3NUCLE3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3NUCLE4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3PGt6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3UMPt6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5MTRt2,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-2.5849394142282115e-26,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.5849394142282115e-26,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2.617251156906064e-24,-2.5849394142282115e-26,-0.0,-0.0,-0.0,-0.0,-0.0,-5.26872433247578e-26,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0,0,0
6PGCt6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
AAMYL_1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
AB6PGH,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
ABTA,0,0,0,0,0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
ABTt_1,0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
ABUTD,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
MACCOAT,0,0,0,0,0,1.79727903205021e-11,8.271806125530277e-25,2.908056841006738e-26,998.7631598152252,-5.598776650690284e-14,1.8612363834672182e-11,7.647944970212651e-12,-1.2294370335095202e-11,2.0679515313825692e-25,3.101927297073854e-25,-1.6155871338926322e-27,-6.462348535570529e-27,-3.101927297073854e-25,-1.7448341046040428e-25,0.0,0.0,0.0,0.0,0.0,9.693522803355793e-27,0.0,-5.4297480995636904e-27,0.0,0.0,0.0,0.0,1.0339757656912846e-25,0.0,1.550963648536927e-25,0.0,1.0339757656912846e-25,1.0339757656912846e-25,3.877409121342317e-26,1.0339757656912846e-25,-5.169878828456423e-26,2.5849394142282115e-26,0.0,0.0,5.169878828456423e-26,2.2620495971119451e-13,-4.0389678347315804e-28,-2.4326027303621584e-13,8.85543697764899e-26,3.2311742677852644e-27,3.2311742677852644e-27,3.2311742677852644e-27,-9.693522803355793e-27,2.5849394142282115e-26,-2.617723618690512e-12,0.0,1.550963648536927e-25,-9.693522803355793e-27,6.462348535570529e-27,-5.169878828456423e-26,-1.1632227364026952e-25,2.0679515313825692e-25,0.0,6.957542181272626e-14,-0.0,0.0,-1.752556433334664e-13,1.656951485740723e-13,5.1964942766112625e-14,7.120866396519101e-14,2.2304640773238206e-13,-2.4955558453048287e-13,-1.2988954530002017e-12,9.18423323503689e-14,-3.2708427979977195e-14,-2.1853395829052324e-13,-3.123883530326076e-13,-6.385109455053312e-13,-7.271353658078e-13,-2.1853395829031645e-13,1.5161992755058292e-13,4.769821690380391e-13,-0.0,7.089207693100235e-14,0,0,0
ACACT1r,0,0,0,0,0,-1.1113325184984928e-11,0.09113974196616471,0.0911397419694878,0.0911397419493315,0.09113974195835091,-1.6155871338926322e-24,1.4719767690446782e-12,-999.9999999999498,0.017462194376856244,0.09113974194921624,0.0174621943763799,0.01746219437881654,0.017462194373563857,0.09113974196224016,0.09113974194784523,0.09113974197440705,0.01746219437748186,0.017462194372594126,0.017462194378622897,0.09113974195504312,0.01746219437628823,0.0174621943770143,0.017462194380122847,0.017462194373559697,0.01746219437908985,0.01746219438186605,0.017462194373753372,0.01746219437321748,0.09113974194847448,0.01746219437321711,0.01746219436991725,0.01746219437323898,0.017462194376178283,0.01746219437247921,0.01746219437681241,0.01746219437220464,0.017462194372205433,0.017563777935282868,0.09113974196137031,0.01746219437023672,0.017462194375499868,0.018010691562636946,0.0911397419632528,0.017462194378977964,0.017462194378977964,0.017462194378976614,0.017462194383074336,0.0911397419710132,0.09113974196947743,0.017462194373352866,0.017462194380353728,0.01746219437513442,0.017462194383361863,0.017462194379027293,0.01746219437981532,0.017462194375751503,0.09113974194406749,0.0911397419594973,0.09113974195902988,0.0911397419497097,0.09113974195184932,0.017462194375051584,0.017462194376061616,0.017462194380357194,0.01746219437696228,0.017462194378264927,0.09113974195971902,0.017462194375633188,0.01746219437366196,0.017462194373880618,0.017462194380088107,0.017462194375028703,0.017462194375632453,0.017462194373880618,0.017462194372830978,0.0911397419568546,0.09113974196362483,0.017462194377079115,0,0,0
ACACT2r,0,0,0,0,0,-1.1113325184984928e-11,0.09113974196616471,0.0911397419694878,0.0911397419493315,0.09113974195835091,-1.6155871338926322e-24,4.911384887033602e-25,5.02876065299822e-11,0.017462194376856244,0.09113974194921624,0.0174621943763799,0.01746219437881654,0.017462194373563857,0.09113974196224016,0.09113974194784523,0.09113974197440705,0.01746219437748186,0.017462194372594126,0.017462194378622897,0.09113974195504312,0.01746219437628823,0.0174621943770143,0.017462194380122847,0.017462194373559697,0.01746219437908985,0.01746219438186605,0.017462194373753372,0.01746219437321748,0.09113974194847448,0.01746219437321711,0.01746219436991725,0.01746219437323898,0.017462194376178283,0.01746219437247921,0.01746219437681241,0.01746219437220464,0.017462194372205433,0.017563777935282868,0.09113974196137031,0.01746219437023672,0.017462194375499868,0.018010691562636946,0.0911397419632528,0.017462194378977964,0.017462194378977964,0.017462194378976614,0.017462194383074336,0.0911397419710132,0.09113974196947743,0.017462194373352866,0.017462194380353728,0.01746219437513442,0.017462194383361863,0.017462194379027293,0.01746219437981532,0.017462194375751503,0.09113974194406749,0.0911397419594973,0.09113974195902988,0.0911397419497097,0.09113974195184932,0.017462194375051584,0.017462194376061616,0.017462194380357194,0.01746219437696228,0.017462194378264927,0.09113974195971902,0.017462194375633188,0.01746219437366196,0.017462194373880618,0.017462194380088107,0.017462194375028703,0.017462194375632453,0.017462194373880618,0.017462194372830978,0.0911397419568546,0.09113974196362483,0.017462194377079115,0,0,0
ACACT3r,0,0,0,0,0,-1.1113325184984928e-11,0.09113974196616471,0.0911397419694878,0.0911397419493315,0.09113974195835091,-1.6155871338926322e-24,4.911384887033602e-25,5.02876065299822e-11,0.017462194376856244,0.09113974194921624,0.0174621943763799,0.01746219437881654,0.017462194373563857,0.09113974196224016,0.09113974194784523,0.09113974197440705,0.01746219437748186,0.017462194372594126,0.017462194378622897,0.09113974195504312,0.01746219437628823,0.0174621943770143,0.017462194380122847,0.017462194373559697,0.01746219437908985,0.01746219438186605,0.017462194373753372,0.01746219437321748,0.09113974194847448,0.01746219437321711,0.01746219436991725,0.01746219437323898,0.017462194376178283,0.01746219437247921,0.01746219437681241,0.01746219437220464,0.017462194372205433,0.017563777935282868,0.09113974196137031,0.01746219437023672,0.017462194375499868,0.018010691562636946,0.0911397419632528,0.017462194378977964,0.017462194378977964,0.017462194378976614,0.017462194383074336,0.0911397419710132,0.09113974196947743,0.017462194373352866,0.017462194380353728,0.01746219437513442,0.017462194383361863,0.017462194379027293,0.01746219437981532,0.017462194375751503,0.09113974194406749,0.0911397419594973,0.09113974195902988,0.0911397419497097,0.09113974195184932,0.017462194375051584,0.017462194376061616,0.017462194380357194,0.01746219437696228,0.017462194378264927,0.09113974195971902,0.017462194375633188,0.01746219437366196,0.017462194373880618,0.017462194380088107,0.017462194375028703,0.017462194375632453,0.017462194373880618,0.017462194372830978,0.0911397419568546,0.09113974196362483,0.017462194377079115,0,0,0
